ticker,price,eps,pe_ratio,roe,free_cash_flow,debt_to_equity,profit_margin,revenue_growth
LNT,67.92,3.124,21.74,0.1104,,1.652,0.1857,0.0957
AME,233.16,6.4578,36.11,0.1393,1671515000.0,0.2206,0.2,0.0663
AAPL,326.11,7.675,42.49,1.5191,98767000000.0,1.338,0.2692,0.0643
SOFI,17.81,0.3727,47.79,0.0459,-3993575000.0,0.1844,0.1332,0.3832
LYFT,17.36,7.5131,2.31,0.8688,1115616000.0,0.39,0.4503,0.0916
RBLX,39.91,-1.5897,,-2.6999,1352880000.0,4.5698,-0.2178,0.3577
NBIS,199.4151,0.0445,4484.93,0.0021,-3681200000.0,1.0825,0.0185,4.7902
NKE,38.455,2.5855,14.87,0.2091,2184000000.0,0.7422,0.067,0.0019
HOOD,105.725,2.3816,44.39,0.206,1584000000.0,1.272,0.421,0.5158
AWK,138.26,5.5905,24.73,0.1025,-1242000000.0,1.4689,0.2161,0.0974
NVDA,225.57,4.9723,45.36,0.7633,96676000000.0,0.0702,0.556,0.6547
SNDK,1541.034,78.0841,19.74,0.7266,11494000000.0,0.0112,0.5646,1.753
AMGN,438.64,14.2629,30.75,0.8906,8100000000.0,6.3068,0.2098,0.0995
AMP,553.7,40.3054,13.74,0.5441,8161000000.0,0.8951,0.1928,0.0704
NET,269.895,-0.317,,-0.0701,260562000.0,2.4113,-0.0472,0.2985
META,594.65,27.417,21.69,0.2783,46109000000.0,0.3862,0.3008,0.2217
GOOGL,338.4196,22.5271,15.02,0.3183,73266000000.0,0.1428,0.3281,0.1509
MSFT,496.5112,18.012,27.57,0.3023,66987000000.0,0.1285,0.4031,0.1779
LMND,52.9,-2.1383,,-0.3102,-25900000.0,0.3413,-0.2243,0.4015
MRNA,148.87,-7.0685,,-0.3262,-2075000000.0,0.1509,-1.4683,-0.3992
JPM,354.38,21.4613,16.51,0.1574,,1.3795,0.3137,0.0732
