ticker,our_pe,our_roe,our_margin,score,rating,finviz_pe,finviz_roe,finviz_margin,finviz_de,macrotrends_pe
META,24.43,0.2783,0.3008,93,STRONG BUY,N/A,N/A,N/A,N/A,N/A
NVDA,44.18,0.7633,0.556,85,STRONG BUY,N/A,N/A,N/A,N/A,N/A
MSFT,27.38,0.3023,0.4031,85,STRONG BUY,N/A,N/A,N/A,N/A,N/A
LYFT,2.02,0.8688,0.4503,82,STRONG BUY,N/A,N/A,N/A,N/A,N/A
GOOGL,15.52,0.3183,0.3281,82,STRONG BUY,N/A,N/A,N/A,N/A,N/A
AMP,13.51,0.5441,0.1928,76,STRONG BUY,N/A,N/A,N/A,N/A,N/A
SNDK,22.26,0.7266,0.5646,65,BUY,N/A,N/A,N/A,N/A,N/A
HOOD,50.32,0.206,0.421,55,BUY,N/A,N/A,N/A,N/A,N/A
SOFI,45.55,0.0459,0.1332,52,BUY,N/A,N/A,N/A,N/A,N/A
AAPL,43.59,1.5191,0.2692,50,BUY,N/A,N/A,N/A,N/A,N/A
AMGN,26.85,0.8906,0.2098,48,WATCH,N/A,N/A,N/A,N/A,N/A
AME,36.59,0.1393,0.2,43,WATCH,N/A,N/A,N/A,N/A,N/A
JPM,16.18,0.1574,0.3137,43,WATCH,N/A,N/A,N/A,N/A,N/A
NKE,13.88,0.2091,0.067,33,WATCH,N/A,N/A,N/A,N/A,N/A
NET,,-0.0701,-0.0472,28,AVOID,N/A,N/A,N/A,N/A,N/A
AWK,24.41,0.1025,0.2161,28,AVOID,N/A,N/A,N/A,N/A,N/A
RBLX,,-2.6999,-0.2178,23,AVOID,N/A,N/A,N/A,N/A,N/A
MRNA,,-0.3262,-1.4683,22,AVOID,N/A,N/A,N/A,N/A,N/A
NBIS,5319.0,0.0021,0.0185,19,AVOID,N/A,N/A,N/A,N/A,N/A
LNT,21.07,0.1104,0.1857,17,AVOID,N/A,N/A,N/A,N/A,N/A
LMND,,-0.3102,-0.2243,2,AVOID,N/A,N/A,N/A,N/A,N/A
