,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1671515000.0,1701773000.0,1599047000.0,1010368000.0,
Repurchase Of Capital Stock,-434048000.0,-212027000.0,-7772000.0,-332821000.0,
Repayment Of Debt,-514942000.0,-300000000.0,0.0,0.0,
Issuance Of Debt,,,,,0.0
Capital Expenditure,-130248000.0,-127075000.0,-136249000.0,-139005000.0,
End Cash Position,457951000.0,373999000.0,409804000.0,345386000.0,
Beginning Cash Position,373999000.0,409804000.0,345386000.0,346772000.0,
Effect Of Exchange Rate Changes,31281000.0,-17391000.0,8269000.0,-22300000.0,
Changes In Cash,52671000.0,-18414000.0,56149000.0,20914000.0,
Financing Cash Flow,-686322000.0,-1602454000.0,697283000.0,-575699000.0,
Cash Flow From Continuing Financing Activities,-686322000.0,-1602454000.0,697283000.0,-575699000.0,
Net Other Financing Charges,-9712000.0,-8776000.0,-7748000.0,-16955000.0,
Proceeds From Stock Option Exercised,36382000.0,66868000.0,50850000.0,49937000.0,
Cash Dividends Paid,-285345000.0,-258782000.0,-230329000.0,-202169000.0,
Common Stock Dividend Paid,-285345000.0,-258782000.0,-230329000.0,-202169000.0,
Net Common Stock Issuance,-434048000.0,-212027000.0,-7772000.0,-332821000.0,
Common Stock Payments,-434048000.0,-212027000.0,-7772000.0,-332821000.0,
Net Issuance Payments Of Debt,6401000.0,-1189737000.0,892282000.0,-73691000.0,
Net Short Term Debt Issuance,521343000.0,-889737000.0,892282000.0,-73691000.0,
Net Long Term Debt Issuance,-514942000.0,-300000000.0,0.0,0.0,
Long Term Debt Payments,-514942000.0,-300000000.0,0.0,0.0,
Long Term Debt Issuance,,,,,0.0
Investing Cash Flow,-1062770000.0,-244808000.0,-2376430000.0,-552760000.0,
Cash Flow From Continuing Investing Activities,-1062770000.0,-244808000.0,-2376430000.0,-552760000.0,
Net Other Investing Changes,520000.0,-4465000.0,-3151000.0,471000.0,
Net Business Purchase And Sale,-933242000.0,-117514000.0,-2237910000.0,-425980000.0,
Sale Of Business,,0.0,0.0,3734000.0,12000000.0
Purchase Of Business,-933242000.0,-117514000.0,-2237910000.0,-429714000.0,
Net PPE Purchase And Sale,-130048000.0,-122829000.0,-135369000.0,-127251000.0,
Sale Of PPE,200000.0,4246000.0,880000.0,11754000.0,
Purchase Of PPE,-130248000.0,-127075000.0,-136249000.0,-139005000.0,
Operating Cash Flow,1801763000.0,1828848000.0,1735296000.0,1149373000.0,
Cash Flow From Continuing Operating Activities,1801763000.0,1828848000.0,1735296000.0,1149373000.0,
Change In Working Capital,-60615000.0,66673000.0,142786000.0,-266473000.0,
Change In Other Current Liabilities,72763000.0,-41332000.0,67283000.0,47226000.0,
Change In Payables And Accrued Expense,-51435000.0,-18480000.0,10433000.0,95481000.0,
Change In Payable,-51435000.0,-18480000.0,10433000.0,95481000.0,
Change In Account Payable,-51435000.0,-18480000.0,10433000.0,95481000.0,
Change In Inventory,-26779000.0,72997000.0,56619000.0,-322467000.0,
Change In Receivables,-55164000.0,53488000.0,8451000.0,-86713000.0,
Other Non Cash Items,-17528000.0,-30801000.0,-12490000.0,-32042000.0,
Stock Based Compensation,47767000.0,47863000.0,46199000.0,47375000.0,
Deferred Tax,-70716000.0,-12943000.0,-91903000.0,-67818000.0,
Deferred Income Tax,-70716000.0,-12943000.0,-91903000.0,-67818000.0,
Depreciation Amortization Depletion,422804000.0,382927000.0,337636000.0,319427000.0,
Depreciation And Amortization,422804000.0,382927000.0,337636000.0,319427000.0,
Amortization Cash Flow,277268000.0,247700000.0,215100000.0,205800000.0,
Amortization Of Intangibles,277268000.0,247700000.0,215100000.0,205800000.0,
Depreciation,145536000.0,135300000.0,122500000.0,113700000.0,
Operating Gains Losses,-91000.0,-995000.0,-120000.0,-10638000.0,
Gain Loss On Sale Of PPE,-91000.0,-995000.0,-120000.0,-7054000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-3584000.0,-6349000.0
Net Income From Continuing Operations,1480142000.0,1376124000.0,1313188000.0,1159542000.0,
