,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,8100000000.0,10394000000.0,7359000000.0,8785000000.0,
Repurchase Of Capital Stock,0.0,-200000000.0,0.0,-6360000000.0,
Repayment Of Debt,-5000000000.0,-3600000000.0,-1454000000.0,0.0,
Issuance Of Debt,0.0,0.0,27777000000.0,6919000000.0,
Capital Expenditure,-1858000000.0,-1096000000.0,-1112000000.0,-936000000.0,
End Cash Position,9129000000.0,11973000000.0,10944000000.0,7629000000.0,
Beginning Cash Position,11973000000.0,10944000000.0,7629000000.0,7989000000.0,
Changes In Cash,-2844000000.0,1029000000.0,3315000000.0,-360000000.0,
Financing Cash Flow,-10859000000.0,-9415000000.0,21048000000.0,-4037000000.0,
Cash Flow From Continuing Financing Activities,-10859000000.0,-9415000000.0,21048000000.0,-4037000000.0,
Net Other Financing Charges,-735000000.0,-783000000.0,-719000000.0,-400000000.0,
Cash Dividends Paid,-5124000000.0,-4832000000.0,-4556000000.0,-4196000000.0,
Common Stock Dividend Paid,-5124000000.0,-4832000000.0,-4556000000.0,-4196000000.0,
Net Common Stock Issuance,0.0,-200000000.0,0.0,-6360000000.0,
Common Stock Payments,0.0,-200000000.0,0.0,-6360000000.0,
Net Issuance Payments Of Debt,-5000000000.0,-3600000000.0,26323000000.0,6919000000.0,
Net Long Term Debt Issuance,-5000000000.0,-3600000000.0,26323000000.0,6919000000.0,
Long Term Debt Payments,-5000000000.0,-3600000000.0,-1454000000.0,0.0,
Long Term Debt Issuance,0.0,0.0,27777000000.0,6919000000.0,
Investing Cash Flow,-1943000000.0,-1046000000.0,-26204000000.0,-6044000000.0,
Cash Flow From Continuing Investing Activities,-1943000000.0,-1046000000.0,-26204000000.0,-6044000000.0,
Net Other Investing Changes,-32000000.0,50000000.0,224000000.0,100000000.0,
Net Investment Purchase And Sale,0.0,0.0,1673000000.0,-1369000000.0,
Sale Of Investment,0.0,0.0,1673000000.0,1218000000.0,
Purchase Of Investment,,0.0,-1000000.0,-2587000000.0,-8900000000.0
Net Business Purchase And Sale,-53000000.0,0.0,-26989000000.0,-3839000000.0,
Sale Of Business,,,,130000000.0,0.0
Purchase Of Business,-53000000.0,0.0,-26989000000.0,-3839000000.0,
Net PPE Purchase And Sale,-1858000000.0,-1096000000.0,-1112000000.0,-936000000.0,
Purchase Of PPE,-1858000000.0,-1096000000.0,-1112000000.0,-936000000.0,
Operating Cash Flow,9958000000.0,11490000000.0,8471000000.0,9721000000.0,
Cash Flow From Continuing Operating Activities,9958000000.0,11490000000.0,8471000000.0,9721000000.0,
Change In Working Capital,-1978000000.0,2365000000.0,-484000000.0,-733000000.0,
Change In Other Working Capital,499000000.0,92000000.0,953000000.0,,
Change In Other Current Liabilities,-156000000.0,-51000000.0,-222000000.0,-182000000.0,
Change In Other Current Assets,-1267000000.0,-652000000.0,-564000000.0,258000000.0,
Change In Payables And Accrued Expense,736000000.0,3000000.0,-127000000.0,679000000.0,
Change In Accrued Expense,2065000000.0,1194000000.0,935000000.0,943000000.0,
Change In Payable,-1329000000.0,-1191000000.0,-1062000000.0,-264000000.0,
Change In Account Payable,428000000.0,312000000.0,-402000000.0,154000000.0,
Change In Tax Payable,-1757000000.0,-1503000000.0,-660000000.0,-418000000.0,
Change In Income Tax Payable,-1757000000.0,-1503000000.0,-660000000.0,-418000000.0,
Change In Inventory,886000000.0,2532000000.0,491000000.0,-742000000.0,
Change In Receivables,-2676000000.0,441000000.0,-1015000000.0,-746000000.0,
Changes In Account Receivables,-2676000000.0,441000000.0,-1015000000.0,-746000000.0,
Other Non Cash Items,149000000.0,-177000000.0,-277000000.0,-303000000.0,
Stock Based Compensation,494000000.0,530000000.0,431000000.0,401000000.0,
Asset Impairment Charge,1200000000.0,159000000.0,851000000.0,,
Deferred Tax,-721000000.0,-1228000000.0,-1273000000.0,-1198000000.0,
Deferred Income Tax,-721000000.0,-1228000000.0,-1273000000.0,-1198000000.0,
Depreciation Amortization Depletion,5167000000.0,5592000000.0,4071000000.0,3417000000.0,
Depreciation And Amortization,5167000000.0,5592000000.0,4071000000.0,3417000000.0,
Depreciation,5167000000.0,5592000000.0,4071000000.0,3417000000.0,
Operating Gains Losses,-2064000000.0,159000000.0,-1565000000.0,1585000000.0,
Earnings Losses From Equity Investments,,-10000000.0,11000000.0,891000000.0,33000000.0
Gain Loss On Investment Securities,-2064000000.0,159000000.0,-1565000000.0,127000000.0,
Gain Loss On Sale Of Business,,0.0,0.0,567000000.0,0.0
Net Income From Continuing Operations,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
