,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.140931,0.112606,0.145,0.108,
Normalized EBITDA,16898000000.0,13356000000.0,14801000000.0,12169000000.0,
Total Unusual Items,,,0.0,0.0,-1505000000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,-1505000000.0
Net Income From Continuing Operation Net Minority Interest,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Reconciled Depreciation,5167000000.0,5592000000.0,4071000000.0,3417000000.0,
Reconciled Cost Of Revenue,12037000000.0,12858000000.0,8451000000.0,6406000000.0,
EBITDA,16898000000.0,13356000000.0,14801000000.0,12169000000.0,
EBIT,11731000000.0,7764000000.0,10730000000.0,8752000000.0,
Net Interest Income,-2755000000.0,-3155000000.0,-2875000000.0,-1406000000.0,
Interest Expense,2755000000.0,3155000000.0,2875000000.0,1406000000.0,
Normalized Income,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Net Income From Continuing And Discontinued Operation,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Total Expenses,27671000000.0,26166000000.0,20293000000.0,16757000000.0,
Total Operating Income As Reported,9080000000.0,7258000000.0,7897000000.0,9566000000.0,
Diluted Average Shares,542000000.0,541000000.0,538000000.0,541000000.0,
Basic Average Shares,538000000.0,537000000.0,535000000.0,538000000.0,
Diluted EPS,14.23,7.56,12.49,12.11,
Basic EPS,14.33,7.62,12.56,12.18,
Diluted NI Availto Com Stockholders,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Net Income Common Stockholders,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Net Income,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Net Income Including Noncontrolling Interests,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Net Income Continuous Operations,7711000000.0,4090000000.0,6717000000.0,6552000000.0,
Tax Provision,1265000000.0,519000000.0,1138000000.0,794000000.0,
Pretax Income,8976000000.0,4609000000.0,7855000000.0,7346000000.0,
Other Income Expense,2651000000.0,506000000.0,2833000000.0,-814000000.0,
Other Non Operating Income Expenses,2651000000.0,506000000.0,2833000000.0,-814000000.0,
Special Income Charges,,,0.0,0.0,-1505000000.0
Other Special Charges,,,,,1505000000.0
Net Non Operating Interest Income Expense,-2755000000.0,-3155000000.0,-2875000000.0,-1406000000.0,
Interest Expense Non Operating,2755000000.0,3155000000.0,2875000000.0,1406000000.0,
Operating Income,9080000000.0,7258000000.0,7897000000.0,9566000000.0,
Operating Expense,15634000000.0,13308000000.0,11842000000.0,10351000000.0,
Other Operating Expenses,1312000000.0,248000000.0,879000000.0,503000000.0,
Research And Development,7272000000.0,5964000000.0,4784000000.0,4434000000.0,
Selling General And Administration,7050000000.0,7096000000.0,6179000000.0,5414000000.0,
Gross Profit,24714000000.0,20566000000.0,19739000000.0,19917000000.0,
Cost Of Revenue,12037000000.0,12858000000.0,8451000000.0,6406000000.0,
Total Revenue,36751000000.0,33424000000.0,28190000000.0,26323000000.0,
Operating Revenue,35148000000.0,32026000000.0,26910000000.0,24801000000.0,
