,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,8161000000.0,6419000000.0,4501000000.0,4225000000.0,
Repurchase Of Capital Stock,-2907000000.0,-2448000000.0,-2127000000.0,-1978000000.0,
Repayment Of Debt,-1432000000.0,-1565000000.0,-1035000000.0,-514000000.0,
Issuance Of Debt,1861000000.0,1273000000.0,1335000000.0,836000000.0,
Capital Expenditure,-162000000.0,-176000000.0,-184000000.0,-182000000.0,
Interest Paid Supplemental Data,752000000.0,1010000000.0,859000000.0,227000000.0,
Income Tax Paid Supplemental Data,885000000.0,496000000.0,1036000000.0,500000000.0,
End Cash Position,11158000000.0,9489000000.0,8620000000.0,8755000000.0,
Beginning Cash Position,9489000000.0,8620000000.0,8755000000.0,9569000000.0,
Effect Of Exchange Rate Changes,31000000.0,-10000000.0,31000000.0,-68000000.0,
Changes In Cash,1638000000.0,879000000.0,-166000000.0,-746000000.0,
Financing Cash Flow,-5157000000.0,-5165000000.0,4411000000.0,8430000000.0,
Cash Flow From Continuing Financing Activities,-5157000000.0,-5165000000.0,4411000000.0,8430000000.0,
Net Other Financing Charges,-2083000000.0,-1851000000.0,6788000000.0,10620000000.0,
Proceeds From Stock Option Exercised,,,0.0,0.0,1000000.0
Cash Dividends Paid,-596000000.0,-574000000.0,-550000000.0,-534000000.0,
Common Stock Dividend Paid,-596000000.0,-574000000.0,-550000000.0,-534000000.0,
Net Common Stock Issuance,-2907000000.0,-2448000000.0,-2127000000.0,-1978000000.0,
Common Stock Payments,-2907000000.0,-2448000000.0,-2127000000.0,-1978000000.0,
Net Issuance Payments Of Debt,429000000.0,-292000000.0,300000000.0,322000000.0,
Net Long Term Debt Issuance,429000000.0,-292000000.0,300000000.0,322000000.0,
Long Term Debt Payments,-1432000000.0,-1565000000.0,-1035000000.0,-514000000.0,
Long Term Debt Issuance,1861000000.0,1273000000.0,1335000000.0,836000000.0,
Investing Cash Flow,-1528000000.0,-551000000.0,-9262000000.0,-13583000000.0,
Cash Flow From Continuing Investing Activities,-1528000000.0,-551000000.0,-9262000000.0,-13583000000.0,
Net Other Investing Changes,-8000000.0,453000000.0,555000000.0,474000000.0,
Net Investment Purchase And Sale,-442000000.0,-582000000.0,-9717000000.0,-13525000000.0,
Sale Of Investment,19163000000.0,18169000000.0,10152000000.0,9227000000.0,
Purchase Of Investment,-19605000000.0,-18751000000.0,-19869000000.0,-22752000000.0,
Net Business Purchase And Sale,-443000000.0,-8000000.0,216000000.0,-312000000.0,
Sale Of Business,988000000.0,1117000000.0,643000000.0,615000000.0,
Purchase Of Business,-1431000000.0,-1125000000.0,-427000000.0,-961000000.0,
Net PPE Purchase And Sale,-162000000.0,-176000000.0,-184000000.0,-182000000.0,
Purchase Of PPE,-162000000.0,-176000000.0,-184000000.0,-182000000.0,
Operating Cash Flow,8323000000.0,6595000000.0,4685000000.0,4407000000.0,
Cash Flow From Continuing Operating Activities,8323000000.0,6595000000.0,4685000000.0,4407000000.0,
Change In Working Capital,4460000000.0,3012000000.0,2006000000.0,807000000.0,
Change In Other Working Capital,-396000000.0,-1222000000.0,-970000000.0,738000000.0,
Change In Payables And Accrued Expense,261000000.0,105000000.0,354000000.0,-219000000.0,
Change In Receivables,-159000000.0,215000000.0,276000000.0,39000000.0,
Other Non Cash Items,19000000.0,9000000.0,-16000000.0,98000000.0,
Stock Based Compensation,206000000.0,193000000.0,187000000.0,170000000.0,
Deferred Tax,157000000.0,125000000.0,18000000.0,155000000.0,
Deferred Income Tax,157000000.0,125000000.0,18000000.0,155000000.0,
Depreciation And Amortization,-93000000.0,-159000000.0,-154000000.0,-40000000.0,
Depreciation,-93000000.0,-159000000.0,-154000000.0,-40000000.0,
Operating Gains Losses,11000000.0,14000000.0,88000000.0,68000000.0,
Earnings Losses From Equity Investments,20000000.0,6000000.0,50000000.0,53000000.0,
Gain Loss On Investment Securities,-9000000.0,8000000.0,38000000.0,15000000.0,
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
