,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.208925,0.202953,0.21,0.198932,
Total Unusual Items,,,,,0.0
Total Unusual Items Excluding Goodwill,,,,,0.0
Net Income From Continuing Operation Net Minority Interest,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Reconciled Depreciation,-93000000.0,-159000000.0,-154000000.0,-40000000.0,
EBIT,4830000000.0,4596000000.0,3558000000.0,4129000000.0,
Net Interest Income,-326000000.0,-329000000.0,-324000000.0,-198000000.0,
Interest Expense,326000000.0,329000000.0,324000000.0,198000000.0,
Interest Income,-431000000.0,-662000000.0,-561000000.0,-76000000.0,
Normalized Income,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Net Income From Continuing And Discontinued Operation,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Total Expenses,13976000000.0,12997000000.0,12301000000.0,10327000000.0,
Diluted Average Shares,98200000.0,102900000.0,107800000.0,113700000.0,
Basic Average Shares,96700000.0,101000000.0,105700000.0,111300000.0,
Diluted EPS,36.28,33.05,23.71,27.7,
Basic EPS,36.85,33.67,24.18,28.29,
Diluted NI Availto Com Stockholders,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Net Income Common Stockholders,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Net Income,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Net Income Including Noncontrolling Interests,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Net Income Continuous Operations,3563000000.0,3401000000.0,2556000000.0,3149000000.0,
Tax Provision,941000000.0,866000000.0,678000000.0,782000000.0,
Pretax Income,4504000000.0,4267000000.0,3234000000.0,3931000000.0,
Other Income Expense,528000000.0,516000000.0,513000000.0,491000000.0,
Special Income Charges,,,,,0.0
Net Non Operating Interest Income Expense,-326000000.0,-329000000.0,-324000000.0,-198000000.0,
Interest Expense Non Operating,326000000.0,329000000.0,324000000.0,198000000.0,
Selling General And Administration,10616000000.0,9927000000.0,8949000000.0,8658000000.0,
Selling And Marketing Expense,6741000000.0,6024000000.0,5078000000.0,4935000000.0,
General And Administrative Expense,3875000000.0,3903000000.0,3871000000.0,3723000000.0,
Other Gand A,3875000000.0,3903000000.0,3871000000.0,3723000000.0,
Total Revenue,18480000000.0,17264000000.0,15535000000.0,14258000000.0,
Operating Revenue,18480000000.0,17264000000.0,15535000000.0,14258000000.0,
Loss Adjustment Expense,2317000000.0,1883000000.0,2128000000.0,554000000.0,
Net Policyholder Benefits And Claims,2317000000.0,1883000000.0,2128000000.0,554000000.0,
Policyholder Benefits Gross,2317000000.0,1883000000.0,2128000000.0,554000000.0,
