,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-1242000000.0,-963000000.0,-860000000.0,-1312000000.0,
Repurchase Of Capital Stock,,,,,0.0
Repayment Of Debt,-664000000.0,-475000000.0,-282000000.0,-15000000.0,
Issuance Of Debt,1781000000.0,1437000000.0,1264000000.0,822000000.0,
Issuance Of Capital Stock,0.0,0.0,1688000000.0,0.0,
Capital Expenditure,-3301000000.0,-3008000000.0,-2734000000.0,-2420000000.0,
Interest Paid Supplemental Data,568000000.0,483000000.0,445000000.0,414000000.0,
Income Tax Paid Supplemental Data,190000000.0,,0.0,335000000.0,1000000.0
End Cash Position,139000000.0,140000000.0,364000000.0,117000000.0,
Beginning Cash Position,140000000.0,364000000.0,117000000.0,136000000.0,
Changes In Cash,-1000000.0,-224000000.0,247000000.0,-19000000.0,
Financing Cash Flow,1249000000.0,1110000000.0,1188000000.0,1000000000.0,
Cash Flow From Continuing Financing Activities,1249000000.0,1110000000.0,1188000000.0,1000000000.0,
Net Other Financing Charges,56000000.0,33000000.0,46000000.0,69000000.0,
Proceeds From Stock Option Exercised,,,,,-1000000.0
Cash Dividends Paid,-633000000.0,-585000000.0,-532000000.0,-467000000.0,
Net Common Stock Issuance,0.0,0.0,1688000000.0,0.0,
Common Stock Payments,,,,,0.0
Common Stock Issuance,0.0,0.0,1688000000.0,0.0,
Net Issuance Payments Of Debt,1826000000.0,1662000000.0,-14000000.0,1398000000.0,
Net Short Term Debt Issuance,709000000.0,700000000.0,-996000000.0,591000000.0,
Net Long Term Debt Issuance,1117000000.0,962000000.0,982000000.0,807000000.0,
Long Term Debt Payments,-664000000.0,-475000000.0,-282000000.0,-15000000.0,
Long Term Debt Issuance,1781000000.0,1437000000.0,1264000000.0,822000000.0,
Investing Cash Flow,-3309000000.0,-3379000000.0,-2815000000.0,-2127000000.0,
Cash Flow From Continuing Investing Activities,-3309000000.0,-3379000000.0,-2815000000.0,-2127000000.0,
Net Other Investing Changes,,,,608000000.0,472000000.0
Net Investment Purchase And Sale,63000000.0,46000000.0,0.0,0.0,
Sale Of Investment,109000000.0,181000000.0,0.0,0.0,
Purchase Of Investment,-46000000.0,-135000000.0,0.0,0.0,
Net Business Purchase And Sale,-71000000.0,-417000000.0,-81000000.0,-315000000.0,
Purchase Of Business,-71000000.0,-417000000.0,-81000000.0,-315000000.0,
Net PPE Purchase And Sale,-175000000.0,-152000000.0,-159000000.0,-123000000.0,
Purchase Of PPE,-175000000.0,-152000000.0,-159000000.0,-123000000.0,
Capital Expenditure Reported,-3126000000.0,-2856000000.0,-2575000000.0,-2297000000.0,
Operating Cash Flow,2059000000.0,2045000000.0,1874000000.0,1108000000.0,
Cash Flow From Continuing Operating Activities,2059000000.0,2045000000.0,1874000000.0,1108000000.0,
Change In Working Capital,-51000000.0,40000000.0,76000000.0,-355000000.0,
Change In Other Working Capital,11000000.0,-117000000.0,13000000.0,-5000000.0,
Change In Payables And Accrued Expense,67000000.0,203000000.0,91000000.0,-126000000.0,
Change In Payable,67000000.0,203000000.0,91000000.0,-126000000.0,
Change In Account Payable,97000000.0,111000000.0,70000000.0,-8000000.0,
Change In Tax Payable,-30000000.0,92000000.0,21000000.0,-118000000.0,
Change In Income Tax Payable,-30000000.0,92000000.0,21000000.0,-118000000.0,
Change In Receivables,-129000000.0,-46000000.0,-28000000.0,-224000000.0,
Changes In Account Receivables,-145000000.0,-107000000.0,-56000000.0,-114000000.0,
Other Non Cash Items,-79000000.0,-18000000.0,-76000000.0,-44000000.0,
Provisionand Write Offof Assets,48000000.0,31000000.0,24000000.0,24000000.0,
Deferred Tax,135000000.0,156000000.0,208000000.0,80000000.0,
Deferred Income Tax,135000000.0,156000000.0,208000000.0,80000000.0,
Depreciation Amortization Depletion,894000000.0,788000000.0,704000000.0,649000000.0,
Depreciation And Amortization,894000000.0,788000000.0,704000000.0,649000000.0,
Operating Gains Losses,1000000.0,-3000000.0,-6000000.0,-66000000.0,
Pension And Employee Benefit Expense,1000000.0,-3000000.0,-6000000.0,-47000000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-19000000.0,-747000000.0
Net Income From Continuing Operations,1111000000.0,1051000000.0,944000000.0,820000000.0,
