,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,3553000.0,
Tax Rate For Calcs,0.219,0.227,0.211,0.187,
Normalized EBITDA,2931000000.0,2670000000.0,2360000000.0,2071000000.0,
Total Unusual Items,,0.0,0.0,19000000.0,747000000.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,19000000.0,747000000.0
Net Income From Continuing Operation Net Minority Interest,1111000000.0,1051000000.0,944000000.0,820000000.0,
Reconciled Depreciation,894000000.0,788000000.0,704000000.0,649000000.0,
Reconciled Cost Of Revenue,2019000000.0,1858000000.0,1720000000.0,1589000000.0,
EBITDA,2931000000.0,2670000000.0,2360000000.0,2090000000.0,
EBIT,2037000000.0,1882000000.0,1656000000.0,1441000000.0,
Net Interest Income,-525000000.0,-429000000.0,-387000000.0,-381000000.0,
Interest Expense,615000000.0,523000000.0,460000000.0,433000000.0,
Interest Income,90000000.0,94000000.0,73000000.0,52000000.0,
Normalized Income,1111000000.0,1051000000.0,944000000.0,804553000.0,
Net Income From Continuing And Discontinued Operation,1111000000.0,1051000000.0,944000000.0,820000000.0,
Total Expenses,3261000000.0,2966000000.0,2730000000.0,2519000000.0,
Total Operating Income As Reported,1879000000.0,1718000000.0,1504000000.0,1273000000.0,
Diluted Average Shares,195000000.0,195000000.0,193000000.0,182000000.0,
Basic Average Shares,195000000.0,195000000.0,193000000.0,182000000.0,
Diluted EPS,5.69,5.39,4.9,4.51,
Basic EPS,5.69,5.39,4.9,4.51,
Diluted NI Availto Com Stockholders,1111000000.0,1051000000.0,944000000.0,820000000.0,
Net Income Common Stockholders,1111000000.0,1051000000.0,944000000.0,820000000.0,
Net Income,1111000000.0,1051000000.0,944000000.0,820000000.0,
Net Income Including Noncontrolling Interests,1111000000.0,1051000000.0,944000000.0,820000000.0,
Net Income Continuous Operations,1111000000.0,1051000000.0,944000000.0,820000000.0,
Tax Provision,311000000.0,308000000.0,252000000.0,188000000.0,
Pretax Income,1422000000.0,1359000000.0,1196000000.0,1008000000.0,
Other Income Expense,68000000.0,70000000.0,79000000.0,116000000.0,
Other Non Operating Income Expenses,68000000.0,70000000.0,79000000.0,97000000.0,
Special Income Charges,,0.0,0.0,19000000.0,747000000.0
Gain On Sale Of Ppe,,,,,747000000.0
Gain On Sale Of Business,,0.0,0.0,19000000.0,747000000.0
Net Non Operating Interest Income Expense,-525000000.0,-429000000.0,-387000000.0,-381000000.0,
Interest Expense Non Operating,615000000.0,523000000.0,460000000.0,433000000.0,
Interest Income Non Operating,90000000.0,94000000.0,73000000.0,52000000.0,
Operating Income,1879000000.0,1718000000.0,1504000000.0,1273000000.0,
Operating Expense,1242000000.0,1108000000.0,1010000000.0,930000000.0,
Other Operating Expenses,,,-1000000.0,,
Other Taxes,348000000.0,320000000.0,307000000.0,281000000.0,
Depreciation Amortization Depletion Income Statement,894000000.0,788000000.0,704000000.0,649000000.0,
Depreciation And Amortization In Income Statement,894000000.0,788000000.0,704000000.0,649000000.0,
Gross Profit,3121000000.0,2826000000.0,2514000000.0,2203000000.0,
Cost Of Revenue,2019000000.0,1858000000.0,1720000000.0,1589000000.0,
Total Revenue,5140000000.0,4684000000.0,4234000000.0,3792000000.0,
Operating Revenue,5140000000.0,4684000000.0,4234000000.0,3792000000.0,
