,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,901328432.0,884492983.0,872162664.0,892751571.0,
Share Issued,901328432.0,884492983.0,872162664.0,892751571.0,
Net Debt,7365000000.0,3131000000.0,,,
Total Debt,11626000000.0,7463000000.0,3547000000.0,1834000000.0,
Tangible Book Value,8587000000.0,7755000000.0,6473000000.0,6831000000.0,
Invested Capital,20766000000.0,15435000000.0,10243000000.0,8790000000.0,
Working Capital,7534000000.0,6999000000.0,6245000000.0,6664000000.0,
Net Tangible Assets,8587000000.0,7755000000.0,6473000000.0,6831000000.0,
Common Stock Equity,9140000000.0,7972000000.0,6696000000.0,6956000000.0,
Total Capitalization,9140000000.0,7972000000.0,6696000000.0,6956000000.0,
Total Equity Gross Minority Interest,9151000000.0,7972000000.0,6696000000.0,6956000000.0,
Minority Interest,11000000.0,0.0,,,
Stockholders Equity,9140000000.0,7972000000.0,6696000000.0,6956000000.0,
Gains Losses Not Affecting Retained Earnings,8000000.0,-1000000.0,-3000000.0,0.0,
Other Equity Adjustments,8000000.0,-1000000.0,-3000000.0,,1000000.0
Retained Earnings,-2152000000.0,-4035000000.0,-5446000000.0,-4905000000.0,
Additional Paid In Capital,11284000000.0,12008000000.0,12145000000.0,11861000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,28986000000.0,18215000000.0,10928000000.0,16381000000.0,
Total Non Current Liabilities Net Minority Interest,215000000.0,111000000.0,91000000.0,128000000.0,
Other Non Current Liabilities,215000000.0,111000000.0,91000000.0,128000000.0,
Preferred Securities Outside Stock Equity,,,,,0.0
Current Liabilities,28771000000.0,18104000000.0,10837000000.0,16253000000.0,
Other Current Liabilities,4696000000.0,2796000000.0,1809000000.0,9533000000.0,
Current Debt And Capital Lease Obligation,11626000000.0,7463000000.0,3547000000.0,1834000000.0,
Current Debt,11626000000.0,7463000000.0,3547000000.0,1834000000.0,
Other Current Borrowings,11626000000.0,7463000000.0,3547000000.0,1834000000.0,
Payables And Accrued Expenses,12449000000.0,7845000000.0,5481000000.0,4886000000.0,
Payables,12449000000.0,7845000000.0,5481000000.0,4886000000.0,
Other Payable,11986000000.0,7448000000.0,5097000000.0,4701000000.0,
Accounts Payable,463000000.0,397000000.0,384000000.0,185000000.0,
Total Assets,38137000000.0,26187000000.0,17624000000.0,23337000000.0,
Total Non Current Assets,1832000000.0,1084000000.0,542000000.0,420000000.0,
Other Non Current Assets,686000000.0,516000000.0,103000000.0,132000000.0,
Non Current Prepaid Assets,11000000.0,17000000.0,4000000.0,17000000.0,
Non Current Deferred Assets,428000000.0,195000000.0,19000000.0,,
Investments And Advances,,0.0,73000000.0,0.0,
Investmentin Financial Assets,,0.0,73000000.0,0.0,
Held To Maturity Securities,,0.0,73000000.0,0.0,
Goodwill And Other Intangible Assets,553000000.0,217000000.0,223000000.0,125000000.0,
Other Intangible Assets,168000000.0,38000000.0,48000000.0,25000000.0,
Goodwill,385000000.0,179000000.0,175000000.0,100000000.0,
Net PPE,154000000.0,139000000.0,120000000.0,146000000.0,
Accumulated Depreciation,-214000000.0,-154000000.0,-111000000.0,-81000000.0,
Gross PPE,368000000.0,293000000.0,231000000.0,227000000.0,
Leases,48000000.0,42000000.0,39000000.0,52000000.0,
Construction In Progress,40000000.0,39000000.0,30000000.0,23000000.0,
Other Properties,,,,,64313000.0
Machinery Furniture Equipment,280000000.0,212000000.0,162000000.0,152000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,36305000000.0,25103000000.0,17082000000.0,22917000000.0,
Other Current Assets,671000000.0,509000000.0,196000000.0,8503000000.0,
Current Deferred Assets,185000000.0,100000000.0,11000000.0,,
Restricted Cash,6451000000.0,5213000000.0,4786000000.0,3181000000.0,
Prepaid Assets,127000000.0,75000000.0,63000000.0,86000000.0,
Receivables,18420000000.0,8710000000.0,3584000000.0,3294000000.0,
Accounts Receivable,18420000000.0,8710000000.0,3584000000.0,3294000000.0,
Allowance For Doubtful Accounts Receivable,-16000000.0,-14000000.0,-15000000.0,,-40216000.0
Gross Accounts Receivable,18436000000.0,8724000000.0,3599000000.0,3294000000.0,
Cash Cash Equivalents And Short Term Investments,10451000000.0,10496000000.0,8442000000.0,7853000000.0,
Other Short Term Investments,6190000000.0,6164000000.0,3607000000.0,1514000000.0,
Cash And Cash Equivalents,4261000000.0,4332000000.0,4835000000.0,6339000000.0,
Cash Equivalents,,,,,4003552000.0
Cash Financial,,,,,2249925000.0
