,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1584000000.0,-207000000.0,1160000000.0,-909000000.0,
Repurchase Of Capital Stock,-653000000.0,-257000000.0,-608000000.0,0.0,
Repayment Of Debt,-4752000000.0,-23000000.0,-20000000.0,-21000000.0,
Issuance Of Debt,5220000000.0,154000000.0,20000000.0,21000000.0,
Issuance Of Capital Stock,,,0.0,0.0,2052000000.0
Capital Expenditure,-54000000.0,-50000000.0,-21000000.0,-57000000.0,
Interest Paid Supplemental Data,31000000.0,16000000.0,12000000.0,12000000.0,
Income Tax Paid Supplemental Data,95000000.0,18000000.0,9000000.0,4000000.0,
End Cash Position,9893000000.0,8695000000.0,9346000000.0,9357000000.0,
Beginning Cash Position,8695000000.0,9346000000.0,9357000000.0,10270000000.0,
Effect Of Exchange Rate Changes,9000000.0,-1000000.0,0.0,-1000000.0,
Changes In Cash,1189000000.0,-650000000.0,-11000000.0,-912000000.0,
Financing Cash Flow,,-345000000.0,-610000000.0,0.0,5203000000.0
Cash Flow From Continuing Financing Activities,-590000000.0,-345000000.0,-610000000.0,0.0,
Net Other Financing Charges,-443000000.0,-253000000.0,-21000000.0,-22000000.0,
Proceeds From Stock Option Exercised,,34000000.0,19000000.0,22000000.0,21000000.0
Net Preferred Stock Issuance,,,,0.0,0.0
Preferred Stock Issuance,,,,0.0,0.0
Net Common Stock Issuance,-653000000.0,-257000000.0,-608000000.0,0.0,
Common Stock Payments,-653000000.0,-257000000.0,-608000000.0,0.0,
Common Stock Issuance,,,0.0,0.0,2052000000.0
Net Issuance Payments Of Debt,468000000.0,131000000.0,0.0,0.0,
Net Short Term Debt Issuance,,,0.0,0.0,3552000000.0
Short Term Debt Payments,,,-20000000.0,-21000000.0,-1968000000.0
Short Term Debt Issuance,,,20000000.0,21000000.0,5520000000.0
Net Long Term Debt Issuance,468000000.0,131000000.0,0.0,0.0,
Long Term Debt Payments,-4752000000.0,-23000000.0,-20000000.0,-21000000.0,
Long Term Debt Issuance,5220000000.0,154000000.0,20000000.0,21000000.0,
Investing Cash Flow,141000000.0,-148000000.0,-582000000.0,-60000000.0,
Cash Flow From Continuing Investing Activities,141000000.0,-148000000.0,-582000000.0,-60000000.0,
Net Other Investing Changes,-755000000.0,-190000000.0,10000000.0,-20000000.0,
Net Investment Purchase And Sale,156000000.0,101000000.0,-478000000.0,17000000.0,
Sale Of Investment,400000000.0,658000000.0,282000000.0,42000000.0,
Purchase Of Investment,-244000000.0,-557000000.0,-760000000.0,-25000000.0,
Net Business Purchase And Sale,794000000.0,-9000000.0,-93000000.0,0.0,
Sale Of Business,1193000000.0,125000000.0,14000000.0,,
Purchase Of Business,-399000000.0,-134000000.0,-107000000.0,0.0,
Net PPE Purchase And Sale,-15000000.0,-13000000.0,-2000000.0,-28000000.0,
Purchase Of PPE,-15000000.0,-13000000.0,-2000000.0,-28000000.0,
Capital Expenditure Reported,-39000000.0,-37000000.0,-19000000.0,-29000000.0,
Operating Cash Flow,1638000000.0,-157000000.0,1181000000.0,-852000000.0,
Cash Flow From Continuing Operating Activities,1638000000.0,-157000000.0,1181000000.0,-852000000.0,
Change In Working Capital,-934000000.0,-1656000000.0,729000000.0,-655000000.0,
Change In Other Working Capital,-121000000.0,-662000000.0,-30000000.0,,135000000.0
Change In Other Current Liabilities,4391000000.0,3889000000.0,1758000000.0,-1848000000.0,
Change In Other Current Assets,-152000000.0,-415000000.0,-18000000.0,-26000000.0,
Change In Payables And Accrued Expense,3405000000.0,2316000000.0,530000000.0,-1837000000.0,
Change In Payable,3405000000.0,2316000000.0,530000000.0,-1837000000.0,
Change In Account Payable,-18000000.0,-35000000.0,134000000.0,-62000000.0,
Change In Prepaid Assets,-241000000.0,-176000000.0,-115000000.0,175000000.0,
Change In Receivables,-8216000000.0,-6608000000.0,-1396000000.0,2881000000.0,
Changes In Account Receivables,-9044000000.0,-4974000000.0,-311000000.0,3398000000.0,
Other Non Cash Items,3000000.0,-2000000.0,8000000.0,35000000.0,
Stock Based Compensation,305000000.0,304000000.0,871000000.0,654000000.0,
Provisionand Write Offof Assets,114000000.0,76000000.0,43000000.0,36000000.0,
Asset Impairment Charge,,2000000.0,5000000.0,45000000.0,0.0
Deferred Tax,181000000.0,-369000000.0,0.0,0.0,
Deferred Income Tax,181000000.0,-369000000.0,0.0,0.0,
Depreciation Amortization Depletion,86000000.0,77000000.0,71000000.0,61000000.0,
Depreciation And Amortization,86000000.0,77000000.0,71000000.0,61000000.0,
Amortization Cash Flow,72000000.0,63000000.0,55000000.0,35000000.0,
Amortization Of Intangibles,72000000.0,63000000.0,55000000.0,35000000.0,
Depreciation,,14000000.0,16000000.0,26000000.0,
Operating Gains Losses,,,,,2045657000.0
Gain Loss On Investment Securities,,,,,2045657000.0
Net Income From Continuing Operations,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
