,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-9450000.0,
Tax Rate For Calcs,0.107,0.21,0.21,0.21,
Normalized EBITDA,2180000000.0,1131000000.0,-465000000.0,-860000000.0,
Total Unusual Items,,-2000000.0,-5000000.0,-45000000.0,-2045000000.0
Total Unusual Items Excluding Goodwill,,-2000000.0,-5000000.0,-45000000.0,-2045000000.0
Net Income From Continuing Operation Net Minority Interest,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
Reconciled Depreciation,86000000.0,77000000.0,71000000.0,61000000.0,
Reconciled Cost Of Revenue,745000000.0,607000000.0,146000000.0,588000000.0,
EBITDA,2180000000.0,1131000000.0,-465000000.0,-905000000.0,
EBIT,2094000000.0,1054000000.0,-536000000.0,-966000000.0,
Normalized Income,1883000000.0,1411000000.0,-541000000.0,-992450000.0,
Net Income From Continuing And Discontinued Operation,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
Total Expenses,2379000000.0,1897000000.0,2401000000.0,2324000000.0,
Diluted Average Shares,918781846.0,906171504.0,890857659.0,878630024.0,
Basic Average Shares,888504958.0,881113156.0,890857659.0,878630024.0,
Diluted EPS,2.05,1.56,-0.61,-1.17,
Basic EPS,2.12,1.6,-0.61,-1.17,
Diluted NI Availto Com Stockholders,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
Net Income Common Stockholders,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
Otherunder Preferred Stock Dividend,,,,0.0,0.0
Net Income,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
Net Income Including Noncontrolling Interests,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
Net Income Continuous Operations,1883000000.0,1411000000.0,-541000000.0,-1028000000.0,
Tax Provision,225000000.0,-347000000.0,8000000.0,1000000.0,
Pretax Income,2108000000.0,1064000000.0,-533000000.0,-1027000000.0,
Other Income Expense,14000000.0,10000000.0,3000000.0,-61000000.0,
Other Non Operating Income Expenses,14000000.0,10000000.0,3000000.0,-16000000.0,
Special Income Charges,,,,-45000000.0,-70000000.0
Other Special Charges,,,,24000000.0,70000000.0
Impairment Of Capital Assets,,,,45000000.0,0.0
Gain On Sale Of Security,,-2000000.0,-5000000.0,-45000000.0,-2045000000.0
Operating Income,2094000000.0,1054000000.0,-536000000.0,-966000000.0,
Operating Expense,1634000000.0,1290000000.0,2255000000.0,1736000000.0,
Other Operating Expenses,47000000.0,33000000.0,116000000.0,97000000.0,
Provision For Doubtful Accounts,114000000.0,76000000.0,43000000.0,36000000.0,
Research And Development,897000000.0,818000000.0,805000000.0,878000000.0,
Selling General And Administration,576000000.0,363000000.0,1291000000.0,725000000.0,
Selling And Marketing Expense,349000000.0,231000000.0,122000000.0,73000000.0,
General And Administrative Expense,227000000.0,132000000.0,1169000000.0,652000000.0,
Other Gand A,227000000.0,132000000.0,1169000000.0,215000000.0,
Insurance And Claims,,,,41000000.0,24970000.0
Salaries And Wages,,103000000.0,660000000.0,437000000.0,962000000.0
Gross Profit,3728000000.0,2344000000.0,1719000000.0,770000000.0,
Cost Of Revenue,745000000.0,607000000.0,146000000.0,588000000.0,
Total Revenue,4473000000.0,2951000000.0,1865000000.0,1358000000.0,
Operating Revenue,4142000000.0,2756000000.0,1714000000.0,1238000000.0,
