,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-25900000.0,-20800000.0,-128300000.0,-173100000.0,
Repayment Of Debt,-58300000.0,-27700000.0,-4200000.0,0.0,
Issuance Of Debt,133000000.0,96100000.0,19100000.0,0.0,
Issuance Of Capital Stock,,,0.0,0.0,640300000.0
Capital Expenditure,-9400000.0,-9400000.0,-9200000.0,-10100000.0,
Interest Paid Supplemental Data,16300000.0,5000000.0,300000.0,0.0,
Income Tax Paid Supplemental Data,2500000.0,2500000.0,700000.0,3400000.0,
End Cash Position,396800000.0,385700000.0,271500000.0,286500000.0,
Beginning Cash Position,385700000.0,271500000.0,286500000.0,270600000.0,
Effect Of Exchange Rate Changes,10100000.0,-2700000.0,0.0,-5800000.0,
Changes In Cash,1000000.0,116900000.0,-15000000.0,21700000.0,
Financing Cash Flow,106600000.0,87700000.0,15400000.0,3600000.0,
Cash Flow From Continuing Financing Activities,106600000.0,87700000.0,15400000.0,3600000.0,
Proceeds From Stock Option Exercised,31900000.0,19300000.0,500000.0,3600000.0,
Net Preferred Stock Issuance,,,,,0.0
Preferred Stock Issuance,,,,,0.0
Net Common Stock Issuance,,,0.0,0.0,640300000.0
Common Stock Issuance,,,0.0,0.0,640300000.0
Net Issuance Payments Of Debt,74700000.0,68400000.0,14900000.0,0.0,
Net Long Term Debt Issuance,74700000.0,68400000.0,14900000.0,,
Long Term Debt Payments,-58300000.0,-27700000.0,-4200000.0,0.0,
Long Term Debt Issuance,133000000.0,96100000.0,19100000.0,0.0,
Investing Cash Flow,-89100000.0,40600000.0,88700000.0,181100000.0,
Cash Flow From Continuing Investing Activities,-89100000.0,40600000.0,88700000.0,181100000.0,
Net Investment Purchase And Sale,-79700000.0,50000000.0,97900000.0,92400000.0,
Sale Of Investment,424700000.0,413800000.0,493100000.0,362500000.0,
Purchase Of Investment,-504400000.0,-363800000.0,-395200000.0,-270100000.0,
Net Business Purchase And Sale,,0.0,0.0,98800000.0,0.0
Sale Of Business,,0.0,0.0,98800000.0,0.0
Net Intangibles Purchase And Sale,,,,,0.0
Purchase Of Intangibles,,,,,0.0
Net PPE Purchase And Sale,-9400000.0,-9400000.0,-9200000.0,-10100000.0,
Purchase Of PPE,-9400000.0,-9400000.0,-9200000.0,-10100000.0,
Operating Cash Flow,-16500000.0,-11400000.0,-119100000.0,-163000000.0,
Cash Flow From Continuing Operating Activities,-16500000.0,-11400000.0,-119100000.0,-162700000.0,
Change In Working Capital,58500000.0,101100000.0,28700000.0,47900000.0,
Change In Other Working Capital,-27400000.0,24200000.0,1700000.0,3200000.0,
Change In Other Current Liabilities,21500000.0,6200000.0,15000000.0,4900000.0,
Change In Other Current Assets,-8200000.0,21200000.0,8900000.0,-7000000.0,
Change In Payables And Accrued Expense,-3900000.0,4500000.0,4300000.0,-13100000.0,
Change In Payable,-3900000.0,4500000.0,4300000.0,-13100000.0,
Change In Account Payable,-3900000.0,4500000.0,4300000.0,-13100000.0,
Change In Prepaid Assets,105700000.0,-57300000.0,-31800000.0,-14900000.0,
Change In Receivables,-106200000.0,-122200000.0,-32100000.0,-96400000.0,
Changes In Account Receivables,-106200000.0,-122200000.0,-32100000.0,-96400000.0,
Other Non Cash Items,19800000.0,11000000.0,8100000.0,8700000.0,
Stock Based Compensation,61300000.0,64500000.0,59900000.0,59300000.0,
Unrealized Gain Loss On Investment Securities,,,,0.0,0.0
Asset Impairment Charge,0.0,300000.0,3700000.0,0.0,
Amortization Of Securities,-5800000.0,-6100000.0,-2600000.0,6700000.0,
Depreciation And Amortization,15200000.0,20000000.0,20000000.0,12200000.0,
Amortization Cash Flow,,9300000.0,,,
Amortization Of Intangibles,,9300000.0,,,
Depreciation,,10700000.0,,,3700000.0
Net Income From Continuing Operations,-165500000.0,-202200000.0,-236900000.0,-297800000.0,
