,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.008,0.21,0.21
Net Income From Continuing Operation Net Minority Interest,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Reconciled Depreciation,15200000.0,20000000.0,20000000.0,12200000.0
Interest Income,8200000.0,8300000.0,4200000.0,1200000.0
Normalized Income,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Net Income From Continuing And Discontinued Operation,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Total Expenses,898800000.0,730400000.0,659600000.0,551500000.0
Diluted Average Shares,73943632.0,71023115.0,69658912.0,64921524.0
Basic Average Shares,73943632.0,71023115.0,69658912.0,64921524.0
Diluted EPS,-2.24,-2.85,-3.4,-4.59
Basic EPS,-2.24,-2.85,-3.4,-4.59
Diluted NI Availto Com Stockholders,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Net Income Common Stockholders,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Net Income,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Net Income Including Noncontrolling Interests,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Net Income Continuous Operations,-165500000.0,-202200000.0,-236900000.0,-297800000.0
Tax Provision,4600000.0,-1700000.0,7100000.0,3000000.0
Pretax Income,-160900000.0,-203900000.0,-229800000.0,-294800000.0
Other Operating Expenses,93900000.0,85800000.0,88800000.0,79600000.0
Selling General And Administration,364200000.0,290800000.0,231200000.0,260600000.0
Selling And Marketing Expense,224400000.0,166300000.0,101900000.0,138300000.0
General And Administrative Expense,139800000.0,124500000.0,129300000.0,122300000.0
Other Gand A,139800000.0,124500000.0,129300000.0,122300000.0
Total Revenue,737900000.0,526500000.0,429800000.0,256700000.0
Operating Revenue,737900000.0,526500000.0,429800000.0,256700000.0
Loss Adjustment Expense,408600000.0,323300000.0,339600000.0,211300000.0
Net Policyholder Benefits And Claims,408600000.0,323300000.0,339600000.0,211300000.0
Policyholder Benefits Gross,733600000.0,651300000.0,628600000.0,485000000.0
Policyholder Benefits Ceded,325000000.0,328000000.0,289000000.0,273700000.0
