,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,13230000.0,11340000.0,740000.0,1320000.0,
Tax Rate For Calcs,0.21,0.21,0.01,0.03,
Normalized EBITDA,1930000000.0,1722000000.0,1677000000.0,1660000000.0,
Total Unusual Items,63000000.0,54000000.0,74000000.0,44000000.0,
Total Unusual Items Excluding Goodwill,63000000.0,54000000.0,74000000.0,44000000.0,
Net Income From Continuing Operation Net Minority Interest,810000000.0,690000000.0,703000000.0,686000000.0,
Reconciled Depreciation,846000000.0,772000000.0,676000000.0,671000000.0,
Reconciled Cost Of Revenue,2370000000.0,2201000000.0,2293000000.0,2496000000.0,
EBITDA,1993000000.0,1776000000.0,1751000000.0,1704000000.0,
EBIT,1147000000.0,1004000000.0,1075000000.0,1033000000.0,
Net Interest Income,-486000000.0,-428000000.0,-368000000.0,-309000000.0,
Interest Expense,486000000.0,428000000.0,368000000.0,325000000.0,
Interest Income,,21000000.0,26000000.0,16000000.0,
Normalized Income,760230000.0,647340000.0,629740000.0,643320000.0,
Net Income From Continuing And Discontinued Operation,810000000.0,690000000.0,703000000.0,686000000.0,
Total Expenses,3337000000.0,3095000000.0,3084000000.0,3277000000.0,
Total Operating Income As Reported,1025000000.0,886000000.0,943000000.0,928000000.0,
Diluted Average Shares,257800000.0,256800000.0,253300000.0,251200000.0,
Basic Average Shares,257000000.0,256500000.0,253000000.0,250900000.0,
Diluted EPS,3.14,2.69,2.78,2.73,
Basic EPS,3.15,2.69,2.78,2.73,
Diluted NI Availto Com Stockholders,810000000.0,690000000.0,703000000.0,686000000.0,
Net Income Common Stockholders,810000000.0,690000000.0,703000000.0,686000000.0,
Preferred Stock Dividends,,,,,15000000.0
Net Income,810000000.0,690000000.0,703000000.0,686000000.0,
Net Income Including Noncontrolling Interests,810000000.0,690000000.0,703000000.0,686000000.0,
Net Income Continuous Operations,810000000.0,690000000.0,703000000.0,686000000.0,
Tax Provision,-149000000.0,-114000000.0,4000000.0,22000000.0,
Pretax Income,661000000.0,576000000.0,707000000.0,708000000.0,
Other Income Expense,122000000.0,118000000.0,132000000.0,89000000.0,
Other Non Operating Income Expenses,-1000000.0,3000000.0,-3000000.0,-6000000.0,
Special Income Charges,63000000.0,54000000.0,74000000.0,44000000.0,
Other Special Charges,-63000000.0,-54000000.0,-74000000.0,-44000000.0,
Earnings From Equity Interest,60000000.0,61000000.0,61000000.0,51000000.0,
Net Non Operating Interest Income Expense,-486000000.0,-428000000.0,-368000000.0,-309000000.0,
Interest Expense Non Operating,486000000.0,428000000.0,368000000.0,325000000.0,
Interest Income Non Operating,,21000000.0,26000000.0,16000000.0,
Operating Income,1025000000.0,886000000.0,943000000.0,928000000.0,
Operating Expense,967000000.0,894000000.0,791000000.0,781000000.0,
Other Taxes,121000000.0,122000000.0,115000000.0,110000000.0,
Depreciation Amortization Depletion Income Statement,846000000.0,772000000.0,676000000.0,671000000.0,
Depreciation And Amortization In Income Statement,846000000.0,772000000.0,676000000.0,671000000.0,
Gross Profit,1992000000.0,1780000000.0,1734000000.0,1709000000.0,
Cost Of Revenue,2370000000.0,2201000000.0,2293000000.0,2496000000.0,
Total Revenue,4362000000.0,3981000000.0,4027000000.0,4205000000.0,
Operating Revenue,4273000000.0,3891000000.0,3937000000.0,4112000000.0,
