,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1115616000.0,766267000.0,-248063000.0,-352255000.0,
Repurchase Of Capital Stock,-499992000.0,-50000000.0,0.0,0.0,
Repayment Of Debt,-494417000.0,-480818000.0,-115950000.0,-102422000.0,
Issuance Of Debt,500000000.0,460000000.0,0.0,0.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-52822000.0,-83470000.0,-149819000.0,-114970000.0,
Interest Paid Supplemental Data,19821000.0,28304000.0,20176000.0,16752000.0,
Income Tax Paid Supplemental Data,7261000.0,11207000.0,9425000.0,10723000.0,
End Cash Position,1837370000.0,946040000.0,771786000.0,391822000.0,
Beginning Cash Position,946040000.0,771786000.0,391822000.0,531193000.0,
Effect Of Exchange Rate Changes,1682000.0,-1636000.0,533000.0,-631000.0,
Changes In Cash,889648000.0,175890000.0,379431000.0,-138740000.0,
Financing Cash Flow,-685528000.0,-155869000.0,-122078000.0,-87500000.0,
Cash Flow From Continuing Financing Activities,-685528000.0,-155869000.0,-122078000.0,-87500000.0,
Net Other Financing Charges,-205980000.0,-100102000.0,-17121000.0,-6733000.0,
Proceeds From Stock Option Exercised,14861000.0,15051000.0,10993000.0,21655000.0,
Net Common Stock Issuance,-499992000.0,-50000000.0,0.0,0.0,
Common Stock Payments,-499992000.0,-50000000.0,0.0,0.0,
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,5583000.0,-20818000.0,-115950000.0,-102422000.0,
Net Short Term Debt Issuance,109281000.0,110000000.0,0.0,0.0,
Short Term Debt Payments,-390719000.0,-350000000.0,0.0,0.0,
Short Term Debt Issuance,500000000.0,460000000.0,0.0,0.0,
Net Long Term Debt Issuance,-103698000.0,-130818000.0,-115950000.0,-102422000.0,
Long Term Debt Payments,-103698000.0,-130818000.0,-115950000.0,-102422000.0,
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,406738000.0,-517978000.0,599753000.0,186045000.0,
Cash Flow From Continuing Investing Activities,406738000.0,-517978000.0,599753000.0,186045000.0,
Net Other Investing Changes,-1330000.0,1303000.0,5500000.0,,-2000000.0
Net Investment Purchase And Sale,715317000.0,-527856000.0,649848000.0,317509000.0,
Sale Of Investment,4060208000.0,3653961000.0,3942046000.0,4380610000.0,
Purchase Of Investment,-3344891000.0,-4181817000.0,-3292198000.0,-4063101000.0,
Net Business Purchase And Sale,-307320000.0,0.0,1630000.0,-146334000.0,
Sale Of Business,,,1630000.0,0.0,122691000.0
Purchase Of Business,-307320000.0,0.0,,-146334000.0,
Net PPE Purchase And Sale,71000.0,8575000.0,-57225000.0,14870000.0,
Sale Of PPE,52893000.0,92045000.0,92594000.0,129840000.0,
Purchase Of PPE,-52822000.0,-83470000.0,-149819000.0,-114970000.0,
Operating Cash Flow,1168438000.0,849737000.0,-98244000.0,-237285000.0,
Cash Flow From Continuing Operating Activities,1168438000.0,849737000.0,-98244000.0,-237285000.0,
Change In Working Capital,828991000.0,453730000.0,-275915000.0,360477000.0,
Change In Other Working Capital,479033000.0,363524000.0,-79482000.0,348721000.0,
Change In Other Current Liabilities,-33236000.0,-47356000.0,-15292000.0,-43759000.0,
Change In Other Current Assets,26978000.0,26276000.0,20046000.0,96317000.0,
Change In Payables And Accrued Expense,407248000.0,187726000.0,-114587000.0,235143000.0,
Change In Accrued Expense,385564000.0,166014000.0,-73508000.0,262358000.0,
Change In Payable,21684000.0,21712000.0,-41079000.0,-27215000.0,
Change In Account Payable,21684000.0,21712000.0,-41079000.0,-27215000.0,
Change In Prepaid Assets,-51032000.0,-76440000.0,-86600000.0,-275945000.0,
Other Non Cash Items,-5577000.0,6206000.0,-1384000.0,26415000.0,
Stock Based Compensation,322268000.0,330921000.0,484533000.0,750767000.0,
Asset Impairment Charge,,0.0,0.0,135714000.0,0.0
Amortization Of Securities,-68929000.0,-89141000.0,-68008000.0,-20290000.0,
Deferred Tax,-2895119000.0,-1876000.0,-2385000.0,0.0,
Deferred Income Tax,-2895119000.0,-1876000.0,-2385000.0,0.0,
Depreciation Amortization Depletion,135227000.0,148892000.0,116513000.0,154798000.0,
Depreciation And Amortization,135227000.0,148892000.0,116513000.0,154798000.0,
Operating Gains Losses,7569000.0,-21779000.0,-11278000.0,-60655000.0,
Gain Loss On Sale Of Business,0.0,-29610000.0,0.0,0.0,
Net Income From Continuing Operations,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
