,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-29481480.0,
Tax Rate For Calcs,0.21,0.101,0.21,0.21,
Normalized EBITDA,102735000.0,203163000.0,-188968000.0,-1263718000.0,
Total Unusual Items,,-7384000.0,3414000.0,-140388000.0,120759000.0
Total Unusual Items Excluding Goodwill,,-7384000.0,3414000.0,-140388000.0,120759000.0
Net Income From Continuing Operation Net Minority Interest,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
Reconciled Depreciation,135227000.0,148892000.0,116513000.0,154798000.0,
Reconciled Cost Of Revenue,3697653000.0,3337714000.0,2543954000.0,2435736000.0,
EBITDA,102735000.0,203163000.0,-188968000.0,-1404106000.0,
EBIT,-32492000.0,54271000.0,-305481000.0,-1558904000.0,
Net Interest Income,-20755000.0,-28921000.0,-26223000.0,27407000.0,
Interest Expense,20755000.0,28921000.0,26223000.0,19735000.0,
Interest Income,,166304000.0,145728000.0,47142000.0,9074000.0
Normalized Income,2844008000.0,22784000.0,-340320000.0,-1473604480.0,
Net Income From Continuing And Discontinued Operation,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
Total Expenses,6504635000.0,5904928000.0,4879193000.0,5554051000.0,
Total Operating Income As Reported,-188374000.0,-118912000.0,-475604000.0,-1458916000.0,
Diluted Average Shares,417659000.0,413651000.0,385335000.0,354731000.0,
Basic Average Shares,410840000.0,409181000.0,385335000.0,354731000.0,
Diluted EPS,6.81,0.06,-0.88,-4.47,
Basic EPS,6.92,0.06,-0.88,-4.47,
Diluted NI Availto Com Stockholders,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
Net Income Common Stockholders,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
Net Income,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
Net Income Including Noncontrolling Interests,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
Net Income Continuous Operations,2844008000.0,22784000.0,-340320000.0,-1584511000.0,
Tax Provision,-2897255000.0,2566000.0,8616000.0,5872000.0,
Pretax Income,-53247000.0,25350000.0,-331704000.0,-1578639000.0,
Other Income Expense,155882000.0,173183000.0,170123000.0,-147130000.0,
Other Non Operating Income Expenses,155882000.0,173183000.0,170123000.0,-6742000.0,
Special Income Charges,,0.0,0.0,-135714000.0,119284000.0
Write Off,,0.0,0.0,135714000.0,0.0
Restructuring And Mergern Acquisition,,,0.0,0.0,-119284000.0
Earnings From Equity Interest,,0.0,12926000.0,0.0,0.0
Gain On Sale Of Security,,-7384000.0,3414000.0,-4674000.0,1475000.0
Net Non Operating Interest Income Expense,-20755000.0,-28921000.0,-26223000.0,27407000.0,
Interest Expense Non Operating,20755000.0,28921000.0,26223000.0,19735000.0,
Interest Income Non Operating,,166304000.0,145728000.0,47142000.0,9074000.0
Operating Income,-188374000.0,-118912000.0,-475604000.0,-1458916000.0,
Operating Expense,2806982000.0,2567214000.0,2335239000.0,3118315000.0,
Other Operating Expenses,478332000.0,443821000.0,427239000.0,443846000.0,
Research And Development,451419000.0,397073000.0,555916000.0,856777000.0,
Selling General And Administration,1877231000.0,1726320000.0,1352084000.0,1817692000.0,
Selling And Marketing Expense,875101000.0,788972000.0,481004000.0,531512000.0,
General And Administrative Expense,1002130000.0,937348000.0,871080000.0,1286180000.0,
Other Gand A,1002130000.0,937348000.0,871080000.0,1286180000.0,
Gross Profit,2618608000.0,2448302000.0,1859635000.0,1659399000.0,
Cost Of Revenue,3697653000.0,3337714000.0,2543954000.0,2435736000.0,
Total Revenue,6316261000.0,5786016000.0,4403589000.0,4095135000.0,
Operating Revenue,6316261000.0,5786016000.0,4403589000.0,4095135000.0,
