,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,46109000000.0,54072000000.0,44068000000.0,19289000000.0,
Repurchase Of Capital Stock,-26248000000.0,-30125000000.0,-19774000000.0,-27956000000.0,
Repayment Of Debt,-2524000000.0,-1969000000.0,-1058000000.0,-850000000.0,
Issuance Of Debt,29906000000.0,10432000000.0,8455000000.0,9921000000.0,
Capital Expenditure,-69691000000.0,-37256000000.0,-27045000000.0,-31186000000.0,
Interest Paid Supplemental Data,696000000.0,486000000.0,448000000.0,0.0,
Income Tax Paid Supplemental Data,7578000000.0,10554000000.0,6607000000.0,6407000000.0,
End Cash Position,39100000000.0,45438000000.0,42827000000.0,15596000000.0,
Beginning Cash Position,45438000000.0,42827000000.0,15596000000.0,16865000000.0,
Effect Of Exchange Rate Changes,235000000.0,-786000000.0,113000000.0,-638000000.0,
Changes In Cash,-6573000000.0,3397000000.0,27118000000.0,-631000000.0,
Financing Cash Flow,-20370000000.0,-40781000000.0,-19500000000.0,-22136000000.0,
Cash Flow From Continuing Financing Activities,-20370000000.0,-40781000000.0,-19500000000.0,-22136000000.0,
Net Other Financing Charges,-16180000000.0,-14047000000.0,-7123000000.0,-3251000000.0,
Cash Dividends Paid,-5324000000.0,-5072000000.0,0.0,0.0,
Common Stock Dividend Paid,-5324000000.0,-5072000000.0,0.0,0.0,
Net Common Stock Issuance,-26248000000.0,-30125000000.0,-19774000000.0,-27956000000.0,
Common Stock Payments,-26248000000.0,-30125000000.0,-19774000000.0,-27956000000.0,
Net Issuance Payments Of Debt,27382000000.0,8463000000.0,7397000000.0,9071000000.0,
Net Short Term Debt Issuance,,,,,14000000.0
Net Long Term Debt Issuance,27382000000.0,8463000000.0,7397000000.0,9071000000.0,
Long Term Debt Payments,-2524000000.0,-1969000000.0,-1058000000.0,-850000000.0,
Long Term Debt Issuance,29906000000.0,10432000000.0,8455000000.0,9921000000.0,
Investing Cash Flow,-102003000000.0,-47150000000.0,-24495000000.0,-28970000000.0,
Cash Flow From Continuing Investing Activities,-102003000000.0,-47150000000.0,-24495000000.0,-28970000000.0,
Net Other Investing Changes,-2250000000.0,140000000.0,-22000000.0,-4000000.0,
Net Investment Purchase And Sale,-28385000000.0,-9764000000.0,3201000000.0,3532000000.0,
Sale Of Investment,26874000000.0,15789000000.0,6184000000.0,13158000000.0,
Purchase Of Investment,-55259000000.0,-25553000000.0,-2983000000.0,-9626000000.0,
Net Business Purchase And Sale,-1677000000.0,-270000000.0,-629000000.0,-1312000000.0,
Sale Of Business,2554000000.0,0.0,0.0,,
Purchase Of Business,-4231000000.0,-270000000.0,-629000000.0,-1312000000.0,
Net PPE Purchase And Sale,-69691000000.0,-37256000000.0,-27045000000.0,-31186000000.0,
Sale Of PPE,,,221000000.0,245000000.0,123000000.0
Purchase Of PPE,-69691000000.0,-37256000000.0,-27045000000.0,-31186000000.0,
Operating Cash Flow,115800000000.0,91328000000.0,71113000000.0,50475000000.0,
Cash Flow From Continuing Operating Activities,115800000000.0,91328000000.0,71113000000.0,50475000000.0,
Change In Working Capital,-885000000.0,1048000000.0,3836000000.0,5683000000.0,
Change In Other Working Capital,,,,,187000000.0
Change In Other Current Liabilities,437000000.0,2805000000.0,624000000.0,886000000.0,
Change In Other Current Assets,-481000000.0,-270000000.0,-80000000.0,-106000000.0,
Change In Payables And Accrued Expense,1063000000.0,696000000.0,5132000000.0,4510000000.0,
Change In Accrued Expense,1077000000.0,323000000.0,5081000000.0,4300000000.0,
Change In Payable,-14000000.0,373000000.0,51000000.0,210000000.0,
Change In Account Payable,-14000000.0,373000000.0,51000000.0,210000000.0,
Change In Prepaid Assets,-89000000.0,-698000000.0,559000000.0,162000000.0,
Change In Receivables,-1815000000.0,-1485000000.0,-2399000000.0,231000000.0,
Changes In Account Receivables,-1815000000.0,-1485000000.0,-2399000000.0,231000000.0,
Other Non Cash Items,-416000000.0,140000000.0,309000000.0,1982000000.0,
Stock Based Compensation,20427000000.0,16690000000.0,14027000000.0,11992000000.0,
Unrealized Gain Loss On Investment Securities,-1138000000.0,-53000000.0,102000000.0,463000000.0,
Asset Impairment Charge,0.0,383000000.0,2432000000.0,2218000000.0,
Deferred Tax,18738000000.0,-4738000000.0,131000000.0,-3286000000.0,
Deferred Income Tax,18738000000.0,-4738000000.0,131000000.0,-3286000000.0,
Depreciation Amortization Depletion,18616000000.0,15498000000.0,11178000000.0,8686000000.0,
Depreciation And Amortization,18616000000.0,15498000000.0,11178000000.0,8686000000.0,
Net Income From Continuing Operations,60458000000.0,62360000000.0,39098000000.0,23200000000.0,
