,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,394000000.0,386000000.0,382000000.0,385000000.0,
Share Issued,394000000.0,386000000.0,382000000.0,385000000.0,
Total Debt,1305000000.0,747000000.0,1243000000.0,1200000000.0,
Tangible Book Value,8553000000.0,10809000000.0,13758000000.0,19123000000.0,
Invested Capital,9240000000.0,10901000000.0,13854000000.0,19123000000.0,
Working Capital,4557000000.0,5893000000.0,7310000000.0,8508000000.0,
Net Tangible Assets,8553000000.0,10809000000.0,13758000000.0,19123000000.0,
Capital Lease Obligations,715000000.0,747000000.0,1243000000.0,1200000000.0,
Common Stock Equity,8650000000.0,10901000000.0,13854000000.0,19123000000.0,
Total Capitalization,9240000000.0,10901000000.0,13854000000.0,19123000000.0,
Total Equity Gross Minority Interest,8650000000.0,10901000000.0,13854000000.0,19123000000.0,
Stockholders Equity,8650000000.0,10901000000.0,13854000000.0,19123000000.0,
Gains Losses Not Affecting Retained Earnings,45000000.0,-10000000.0,-123000000.0,-370000000.0,
Other Equity Adjustments,45000000.0,-10000000.0,-123000000.0,-370000000.0,
Retained Earnings,7223000000.0,10045000000.0,13606000000.0,18320000000.0,
Additional Paid In Capital,1382000000.0,866000000.0,371000000.0,1173000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,3688000000.0,3241000000.0,4572000000.0,6735000000.0,
Total Non Current Liabilities Net Minority Interest,1701000000.0,1035000000.0,1557000000.0,1812000000.0,
Other Non Current Liabilities,36000000.0,36000000.0,21000000.0,135000000.0,
Tradeand Other Payables Non Current,249000000.0,231000000.0,235000000.0,,
Non Current Deferred Liabilities,153000000.0,58000000.0,83000000.0,673000000.0,
Non Current Deferred Revenue,153000000.0,58000000.0,83000000.0,673000000.0,
Long Term Debt And Capital Lease Obligation,1263000000.0,710000000.0,1218000000.0,1004000000.0,
Long Term Capital Lease Obligation,673000000.0,710000000.0,1218000000.0,1004000000.0,
Long Term Debt,590000000.0,,,,
Current Liabilities,1987000000.0,2206000000.0,3015000000.0,4923000000.0,
Other Current Liabilities,143000000.0,184000000.0,41000000.0,53000000.0,
Current Deferred Liabilities,99000000.0,153000000.0,568000000.0,2038000000.0,
Current Deferred Revenue,99000000.0,153000000.0,568000000.0,2038000000.0,
Current Debt And Capital Lease Obligation,42000000.0,37000000.0,25000000.0,196000000.0,
Current Capital Lease Obligation,42000000.0,37000000.0,25000000.0,196000000.0,
Pensionand Other Post Retirement Benefit Plans Current,420000000.0,312000000.0,245000000.0,190000000.0,
Current Provisions,509000000.0,370000000.0,556000000.0,,
Payables And Accrued Expenses,774000000.0,1150000000.0,1580000000.0,2446000000.0,
Current Accrued Expenses,457000000.0,745000000.0,997000000.0,1911000000.0,
Payables,317000000.0,405000000.0,583000000.0,535000000.0,
Total Tax Payable,,3000000.0,63000000.0,48000000.0,876000000.0
Income Tax Payable,,3000000.0,63000000.0,48000000.0,876000000.0
Accounts Payable,317000000.0,405000000.0,520000000.0,487000000.0,
Total Assets,12338000000.0,14142000000.0,18426000000.0,25858000000.0,
Total Non Current Assets,5794000000.0,6043000000.0,8101000000.0,12427000000.0,
Other Non Current Assets,160000000.0,171000000.0,181000000.0,946000000.0,
Non Current Prepaid Assets,100000000.0,139000000.0,342000000.0,0.0,
Non Current Deferred Assets,81000000.0,81000000.0,81000000.0,982000000.0,
Non Current Deferred Taxes Assets,81000000.0,81000000.0,81000000.0,982000000.0,
Non Current Accounts Receivable,161000000.0,97000000.0,,,
Investments And Advances,2342000000.0,2508000000.0,4743000000.0,8360000000.0,
Investmentin Financial Assets,2336000000.0,2494000000.0,4677000000.0,8318000000.0,
Available For Sale Securities,2336000000.0,2494000000.0,4677000000.0,8318000000.0,
Long Term Equity Investment,6000000.0,14000000.0,66000000.0,42000000.0,
Goodwill And Other Intangible Assets,97000000.0,92000000.0,96000000.0,0.0,
Other Intangible Assets,45000000.0,40000000.0,44000000.0,,
Goodwill,52000000.0,52000000.0,52000000.0,0.0,
Net PPE,2853000000.0,2955000000.0,2658000000.0,2139000000.0,
Accumulated Depreciation,-737000000.0,-527000000.0,-433000000.0,-658000000.0,
Gross PPE,3590000000.0,3482000000.0,3091000000.0,2797000000.0,
Leases,403000000.0,207000000.0,522000000.0,460000000.0,
Construction In Progress,298000000.0,1057000000.0,860000000.0,281000000.0,
Other Properties,1393000000.0,1235000000.0,1587000000.0,1986000000.0,
Machinery Furniture Equipment,235000000.0,181000000.0,100000000.0,59000000.0,
Buildings And Improvements,1183000000.0,743000000.0,0.0,,
