,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1050000.0,-714166.897699,0.0,0.0,
Tax Rate For Calcs,0.21,0.012753,0.21,0.127,
Normalized EBITDA,-2538000000.0,-3338000000.0,-3618000000.0,9768000000.0,
Total Unusual Items,-5000000.0,-56000000.0,-72000000.0,-20000000.0,
Total Unusual Items Excluding Goodwill,-5000000.0,-56000000.0,-72000000.0,-20000000.0,
Net Income From Continuing Operation Net Minority Interest,-2822000000.0,-3561000000.0,-4714000000.0,8362000000.0,
Reconciled Depreciation,215000000.0,189000000.0,621000000.0,348000000.0,
Reconciled Cost Of Revenue,868000000.0,1464000000.0,4693000000.0,5416000000.0,
EBITDA,-2543000000.0,-3394000000.0,-3618000000.0,9768000000.0,
EBIT,-2758000000.0,-3583000000.0,-4239000000.0,9420000000.0,
Net Interest Income,304000000.0,401000000.0,421000000.0,200000000.0,
Interest Expense,10000000.0,24000000.0,38000000.0,29000000.0,
Interest Income,314000000.0,425000000.0,421000000.0,200000000.0,
Normalized Income,-2818050000.0,-3505714166.897699,-4714000000.0,8362000000.0,
Net Income From Continuing And Discontinued Operation,-2822000000.0,-3561000000.0,-4714000000.0,8362000000.0,
Total Expenses,4996000000.0,7144000000.0,10993000000.0,9455000000.0,
Total Operating Income As Reported,-3074000000.0,-3945000000.0,-4239000000.0,9420000000.0,
Diluted Average Shares,,384000000.0,382000000.0,416000000.0,431000000.0
Basic Average Shares,,384000000.0,382000000.0,394000000.0,403000000.0
Diluted EPS,,-9.28,-12.33,20.12,28.29
Basic EPS,,-9.28,-12.33,21.26,30.31
Diluted NI Availto Com Stockholders,-2822000000.0,-3561000000.0,-4714000000.0,8362000000.0,
Net Income Common Stockholders,-2822000000.0,-3561000000.0,-4714000000.0,8362000000.0,
Net Income,-2822000000.0,-3561000000.0,-4714000000.0,8362000000.0,
Net Income Including Noncontrolling Interests,-2822000000.0,-3561000000.0,-4714000000.0,8362000000.0,
Net Income Continuous Operations,-2822000000.0,-3561000000.0,-4714000000.0,8362000000.0,
Tax Provision,54000000.0,-46000000.0,772000000.0,1213000000.0,
Pretax Income,-2768000000.0,-3607000000.0,-3942000000.0,9575000000.0,
Other Income Expense,2000000.0,-63000000.0,-124000000.0,-45000000.0,
Other Non Operating Income Expenses,7000000.0,-7000000.0,-124000000.0,-45000000.0,
Gain On Sale Of Security,-5000000.0,-56000000.0,-72000000.0,-20000000.0,
Net Non Operating Interest Income Expense,304000000.0,401000000.0,421000000.0,200000000.0,
Interest Expense Non Operating,10000000.0,24000000.0,38000000.0,29000000.0,
Interest Income Non Operating,314000000.0,425000000.0,421000000.0,200000000.0,
Operating Income,-3074000000.0,-3945000000.0,-4239000000.0,9420000000.0,
Operating Expense,4128000000.0,5680000000.0,6300000000.0,4039000000.0,
Other Operating Expenses,-22000000.0,-37000000.0,-94000000.0,-388000000.0,
Research And Development,3132000000.0,4543000000.0,4845000000.0,3295000000.0,
Selling General And Administration,1018000000.0,1174000000.0,1549000000.0,1132000000.0,
Gross Profit,1054000000.0,1735000000.0,2061000000.0,13459000000.0,
Cost Of Revenue,868000000.0,1464000000.0,4693000000.0,5416000000.0,
Total Revenue,1922000000.0,3199000000.0,6754000000.0,18875000000.0,
Operating Revenue,3304000000.0,4517000000.0,8203000000.0,18435000000.0,
