,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Ordinary Shares Number,7427000000.0,7434158655.0,7434138859.0,7432000000.0,
Share Issued,7427000000.0,7434158655.0,7434138859.0,7432000000.0,
Net Debt,19359000000.0,12909000000.0,33315000000.0,12533000000.0,
Total Debt,56826000000.0,60588000000.0,67127000000.0,59965000000.0,
Tangible Book Value,304127000000.0,201366000000.0,121660000000.0,128971000000.0,
Invested Capital,482681000000.0,386630000000.0,320107000000.0,253460000000.0,
Working Capital,38885000000.0,49913000000.0,34448000000.0,80108000000.0,
Net Tangible Assets,304127000000.0,201366000000.0,121660000000.0,128971000000.0,
Capital Lease Obligations,16532000000.0,17437000000.0,15497000000.0,12728000000.0,
Common Stock Equity,442387000000.0,343479000000.0,268477000000.0,206223000000.0,
Total Capitalization,473454000000.0,383631000000.0,311165000000.0,248213000000.0,
Total Equity Gross Minority Interest,442387000000.0,343479000000.0,268477000000.0,206223000000.0,
Stockholders Equity,442387000000.0,343479000000.0,268477000000.0,206223000000.0,
Gains Losses Not Affecting Retained Earnings,-3284000000.0,-3347000000.0,-5590000000.0,-6343000000.0,
Other Equity Adjustments,-3284000000.0,-3347000000.0,-5590000000.0,-6343000000.0,
Retained Earnings,328265000000.0,237731000000.0,173144000000.0,118848000000.0,
Capital Stock,117406000000.0,109095000000.0,100923000000.0,93718000000.0,
Common Stock,117406000000.0,109095000000.0,100923000000.0,93718000000.0,
Total Liabilities Net Minority Interest,315989000000.0,275524000000.0,243686000000.0,205753000000.0,
Total Non Current Liabilities Net Minority Interest,147164000000.0,134306000000.0,118400000000.0,101604000000.0,
Other Non Current Liabilities,65117000000.0,45186000000.0,27064000000.0,17981000000.0,
Tradeand Other Payables Non Current,28647000000.0,25986000000.0,27931000000.0,25560000000.0,
Non Current Deferred Liabilities,5801000000.0,5545000000.0,5220000000.0,3345000000.0,
Non Current Deferred Revenue,2747000000.0,2710000000.0,2602000000.0,2912000000.0,
Non Current Deferred Taxes Liabilities,3054000000.0,2835000000.0,2618000000.0,433000000.0,
Long Term Debt And Capital Lease Obligation,47599000000.0,57589000000.0,58185000000.0,54718000000.0,
Long Term Capital Lease Obligation,16532000000.0,17437000000.0,15497000000.0,12728000000.0,
Long Term Debt,31067000000.0,40152000000.0,42688000000.0,41990000000.0,
Current Liabilities,168825000000.0,141218000000.0,125286000000.0,104149000000.0,
Other Current Liabilities,26738000000.0,25020000000.0,19185000000.0,14745000000.0,
Current Deferred Liabilities,72965000000.0,64555000000.0,57582000000.0,50901000000.0,
Current Deferred Revenue,72965000000.0,64555000000.0,57582000000.0,50901000000.0,
Current Debt And Capital Lease Obligation,9227000000.0,2999000000.0,8942000000.0,5247000000.0,
Current Debt,9227000000.0,2999000000.0,8942000000.0,5247000000.0,
Other Current Borrowings,,2999000000.0,2249000000.0,5247000000.0,
Commercial Paper,,0.0,6693000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,14945000000.0,13709000000.0,12564000000.0,11009000000.0,
Payables And Accrued Expenses,44950000000.0,34935000000.0,27013000000.0,22247000000.0,
Payables,44950000000.0,34935000000.0,27013000000.0,22247000000.0,
Total Tax Payable,2534000000.0,7211000000.0,5017000000.0,4152000000.0,
Income Tax Payable,2534000000.0,7211000000.0,5017000000.0,4152000000.0,
Accounts Payable,42416000000.0,27724000000.0,21996000000.0,18095000000.0,
Total Assets,758376000000.0,619003000000.0,512163000000.0,411976000000.0,
Total Non Current Assets,550666000000.0,427872000000.0,352429000000.0,227719000000.0,
Other Non Current Assets,38805000000.0,40565000000.0,36460000000.0,30601000000.0,
Financial Assets,0.0,272000000.0,0.0,0.0,
Investments And Advances,36348000000.0,15133000000.0,14600000000.0,9879000000.0,
Investmentin Financial Assets,36348000000.0,2460000000.0,1500000000.0,0.0,
Available For Sale Securities,9108000000.0,2460000000.0,1500000000.0,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,27240000000.0,,,,
Long Term Equity Investment,,12673000000.0,13100000000.0,9879000000.0,6891000000.0
Goodwill And Other Intangible Assets,138260000000.0,142113000000.0,146817000000.0,77252000000.0,
Other Intangible Assets,18609000000.0,22604000000.0,27597000000.0,9366000000.0,
Goodwill,119651000000.0,119509000000.0,119220000000.0,67886000000.0,
Net PPE,337253000000.0,229789000000.0,154552000000.0,109987000000.0,
Accumulated Depreciation,-118691000000.0,-93653000000.0,-76421000000.0,-68251000000.0,
Gross PPE,455944000000.0,323442000000.0,230973000000.0,178238000000.0,
Leases,16348000000.0,12117000000.0,9594000000.0,8537000000.0,
Other Properties,24177000000.0,24823000000.0,18961000000.0,14346000000.0,
Machinery Furniture Equipment,222124000000.0,139243000000.0,100312000000.0,81207000000.0,
Buildings And Improvements,182749000000.0,137921000000.0,93943000000.0,68465000000.0,
Land And Improvements,10546000000.0,9338000000.0,8163000000.0,5683000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,207710000000.0,191131000000.0,159734000000.0,184257000000.0,
Other Current Assets,48594000000.0,25723000000.0,26021000000.0,21807000000.0,
Hedging Assets Current,192000000.0,10000000.0,12000000.0,6000000.0,
Inventory,1397000000.0,938000000.0,1246000000.0,2500000000.0,
Finished Goods,,,845000000.0,1768000000.0,2516000000.0
Work In Process,,,7000000.0,23000000.0,82000000.0
Raw Materials,,,394000000.0,709000000.0,1144000000.0
Receivables,80876000000.0,69905000000.0,56924000000.0,48688000000.0,
Accounts Receivable,80876000000.0,69905000000.0,56924000000.0,48688000000.0,
Allowance For Doubtful Accounts Receivable,-1040000000.0,-944000000.0,-830000000.0,-650000000.0,
Gross Accounts Receivable,81916000000.0,70849000000.0,57754000000.0,49338000000.0,
Cash Cash Equivalents And Short Term Investments,76651000000.0,94555000000.0,75531000000.0,111256000000.0,
Other Short Term Investments,55716000000.0,64313000000.0,57216000000.0,76552000000.0,
Cash And Cash Equivalents,20935000000.0,30242000000.0,18315000000.0,34704000000.0,
Cash Equivalents,7876000000.0,18531000000.0,6744000000.0,26226000000.0,
Cash Financial,13059000000.0,11711000000.0,11571000000.0,8478000000.0,
