,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Free Cash Flow,66987000000.0,71611000000.0,74071000000.0,59475000000.0,
Repurchase Of Capital Stock,-22271000000.0,-18420000000.0,-17254000000.0,-22245000000.0,
Repayment Of Debt,-3000000000.0,-3216000000.0,-29070000000.0,-2750000000.0,
Issuance Of Debt,0.0,0.0,24395000000.0,0.0,
Issuance Of Capital Stock,2009000000.0,2056000000.0,2002000000.0,1866000000.0,
Capital Expenditure,-115948000000.0,-64551000000.0,-44477000000.0,-28107000000.0,
End Cash Position,20935000000.0,30242000000.0,18315000000.0,34704000000.0,
Beginning Cash Position,30242000000.0,18315000000.0,34704000000.0,13931000000.0,
Effect Of Exchange Rate Changes,-196000000.0,63000000.0,-210000000.0,-194000000.0,
Changes In Cash,-9111000000.0,11864000000.0,-16179000000.0,20967000000.0,
Financing Cash Flow,-52546000000.0,-51699000000.0,-37757000000.0,-43935000000.0,
Cash Flow From Continuing Financing Activities,-52546000000.0,-51699000000.0,-37757000000.0,-43935000000.0,
Net Other Financing Charges,-2839000000.0,-2291000000.0,-1309000000.0,-1006000000.0,
Cash Dividends Paid,-26445000000.0,-24082000000.0,-21771000000.0,-19800000000.0,
Common Stock Dividend Paid,-26445000000.0,-24082000000.0,-21771000000.0,-19800000000.0,
Net Common Stock Issuance,-20262000000.0,-16364000000.0,-15252000000.0,-20379000000.0,
Common Stock Payments,-22271000000.0,-18420000000.0,-17254000000.0,-22245000000.0,
Common Stock Issuance,2009000000.0,2056000000.0,2002000000.0,1866000000.0,
Net Issuance Payments Of Debt,-3000000000.0,-8962000000.0,575000000.0,-2750000000.0,
Net Short Term Debt Issuance,0.0,-5746000000.0,5250000000.0,0.0,
Short Term Debt Issuance,,,5250000000.0,0.0,0.0
Net Long Term Debt Issuance,-3000000000.0,-3216000000.0,-4675000000.0,-2750000000.0,
Long Term Debt Payments,-3000000000.0,-3216000000.0,-29070000000.0,-2750000000.0,
Long Term Debt Issuance,0.0,0.0,24395000000.0,0.0,
Investing Cash Flow,-139500000000.0,-72599000000.0,-96970000000.0,-22680000000.0,
Cash Flow From Continuing Investing Activities,-139500000000.0,-72599000000.0,-96970000000.0,-22680000000.0,
Net Other Investing Changes,-19861000000.0,2317000000.0,-1298000000.0,-3116000000.0,
Net Investment Purchase And Sale,-1948000000.0,-4387000000.0,17937000000.0,10213000000.0,
Sale Of Investment,56403000000.0,25388000000.0,35669000000.0,47864000000.0,
Purchase Of Investment,-58351000000.0,-29775000000.0,-17732000000.0,-37651000000.0,
Net Business Purchase And Sale,-1743000000.0,-5978000000.0,-69132000000.0,-1670000000.0,
Purchase Of Business,-1743000000.0,-5978000000.0,-69132000000.0,-1670000000.0,
Net PPE Purchase And Sale,-115948000000.0,-64551000000.0,-44477000000.0,-28107000000.0,
Purchase Of PPE,-115948000000.0,-64551000000.0,-44477000000.0,-28107000000.0,
Operating Cash Flow,182935000000.0,136162000000.0,118548000000.0,87582000000.0,
Cash Flow From Continuing Operating Activities,182935000000.0,136162000000.0,118548000000.0,87582000000.0,
Change In Working Capital,-4895000000.0,-5350000000.0,1824000000.0,-2388000000.0,
Change In Other Working Capital,7486000000.0,5400000000.0,7035000000.0,5177000000.0,
Change In Other Current Liabilities,2140000000.0,4947000000.0,5616000000.0,2825000000.0,
Change In Other Current Assets,-6591000000.0,-5994000000.0,-8465000000.0,-4824000000.0,
Change In Payables And Accrued Expense,5268000000.0,569000000.0,3545000000.0,-2721000000.0,
Change In Payable,5268000000.0,569000000.0,3545000000.0,-2721000000.0,
Change In Account Payable,5268000000.0,569000000.0,3545000000.0,-2721000000.0,
Change In Tax Payable,,,1687000000.0,-358000000.0,696000000.0
Change In Income Tax Payable,,,1687000000.0,-358000000.0,696000000.0
Change In Inventory,-461000000.0,309000000.0,1284000000.0,1242000000.0,
Change In Receivables,-12737000000.0,-10581000000.0,-7191000000.0,-4087000000.0,
Changes In Account Receivables,-12737000000.0,-10581000000.0,-7191000000.0,-4087000000.0,
Stock Based Compensation,12405000000.0,11974000000.0,10734000000.0,9611000000.0,
Unrealized Gain Loss On Investment Securities,,-536000000.0,-146000000.0,-303000000.0,-509000000.0
Asset Impairment Charge,,943000000.0,206000000.0,30000000.0,101000000.0
Deferred Tax,14189000000.0,-7056000000.0,-4738000000.0,-6059000000.0,
Deferred Income Tax,14189000000.0,-7056000000.0,-4738000000.0,-6059000000.0,
Depreciation Amortization Depletion,38534000000.0,29433000000.0,20958000000.0,13861000000.0,
Depreciation And Amortization,38534000000.0,29433000000.0,20958000000.0,13861000000.0,
Depreciation,38534000000.0,29433000000.0,20958000000.0,13861000000.0,
Operating Gains Losses,-11047000000.0,5329000000.0,1634000000.0,469000000.0,
Gain Loss On Investment Securities,,202000000.0,245000000.0,469000000.0,-1000000.0
Net Income From Continuing Operations,133749000000.0,101832000000.0,88136000000.0,72361000000.0,
