,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Tax Effect Of Unusual Items,1110650000.0,-77217840.76294,-100089983.022071,-2850000.0
Tax Rate For Calcs,0.194,0.176296,0.182313,0.19
Normalized EBITDA,201794000000.0,155883000000.0,132229000000.0,105155000000.0
Total Unusual Items,5725000000.0,-438000000.0,-549000000.0,-15000000.0
Total Unusual Items Excluding Goodwill,5725000000.0,-438000000.0,-549000000.0,-15000000.0
Net Income From Continuing Operation Net Minority Interest,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Reconciled Depreciation,38534000000.0,29433000000.0,20958000000.0,13861000000.0
Reconciled Cost Of Revenue,106374000000.0,87831000000.0,74114000000.0,65863000000.0
EBITDA,207519000000.0,155445000000.0,131680000000.0,105140000000.0
EBIT,168985000000.0,126012000000.0,110722000000.0,91279000000.0
Net Interest Income,250000000.0,262000000.0,222000000.0,1026000000.0
Interest Expense,3051000000.0,2385000000.0,2935000000.0,1968000000.0
Interest Income,3301000000.0,2647000000.0,3157000000.0,2994000000.0
Normalized Income,129134650000.0,102192782159.23706,88584910016.97794,72373150000.0
Net Income From Continuing And Discontinued Operation,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Total Expenses,176602000000.0,153196000000.0,135689000000.0,123392000000.0
Total Operating Income As Reported,155237000000.0,128528000000.0,109433000000.0,88523000000.0
Diluted Average Shares,7453000000.0,7465000000.0,7469000000.0,7472000000.0
Basic Average Shares,7429000000.0,7433000000.0,7431000000.0,7446000000.0
Diluted EPS,17.95,13.64,11.8,9.68
Basic EPS,18.0,13.7,11.86,9.72
Diluted NI Availto Com Stockholders,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Net Income Common Stockholders,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Net Income,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Net Income Including Noncontrolling Interests,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Net Income Continuous Operations,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Tax Provision,32185000000.0,21795000000.0,19651000000.0,16950000000.0
Pretax Income,165934000000.0,123627000000.0,107787000000.0,89311000000.0
Other Income Expense,10447000000.0,-5163000000.0,-1868000000.0,-238000000.0
Other Non Operating Income Expenses,4722000000.0,-4725000000.0,-1319000000.0,-223000000.0
Special Income Charges,-178000000.0,-943000000.0,-206000000.0,-30000000.0
Write Off,178000000.0,943000000.0,206000000.0,30000000.0
Gain On Sale Of Security,5903000000.0,505000000.0,-343000000.0,15000000.0
Net Non Operating Interest Income Expense,250000000.0,262000000.0,222000000.0,1026000000.0
Interest Expense Non Operating,3051000000.0,2385000000.0,2935000000.0,1968000000.0
Interest Income Non Operating,3301000000.0,2647000000.0,3157000000.0,2994000000.0
Operating Income,155237000000.0,128528000000.0,109433000000.0,88523000000.0
Operating Expense,70228000000.0,65365000000.0,61575000000.0,57529000000.0
Research And Development,35562000000.0,32488000000.0,29510000000.0,27195000000.0
Selling General And Administration,34666000000.0,32877000000.0,32065000000.0,30334000000.0
Selling And Marketing Expense,26710000000.0,25654000000.0,24456000000.0,22759000000.0
General And Administrative Expense,7956000000.0,7223000000.0,7609000000.0,7575000000.0
Other Gand A,7956000000.0,7223000000.0,7609000000.0,7575000000.0
Gross Profit,225465000000.0,193893000000.0,171008000000.0,146052000000.0
Cost Of Revenue,106374000000.0,87831000000.0,74114000000.0,65863000000.0
Total Revenue,331839000000.0,281724000000.0,245122000000.0,211915000000.0
Operating Revenue,331839000000.0,281724000000.0,245122000000.0,211915000000.0
