,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-3681200000.0,-561900000.0,746900000.0,682400000.0,
Repurchase Of Capital Stock,,,0.0,0.0,-93414054.376474
Repayment Of Debt,-800000.0,-700000.0,0.0,0.0,
Issuance Of Debt,4162500000.0,0.0,0.0,680080536.912752,
Issuance Of Capital Stock,1150000000.0,700000000.0,0.0,0.0,
Capital Expenditure,-4066000000.0,-807500000.0,-82900000.0,-14600000.0,
Interest Paid Supplemental Data,12200000.0,0.0,0.0,30765100.671141,
Income Tax Paid Supplemental Data,4500000.0,3700000.0,2000000.0,200000.0,
End Cash Position,3721600000.0,2435400000.0,114100000.0,1200500000.0,
Other Cash Adjustment Outside Changein Cash,0.0,-14900000.0,-977100000.0,,
Beginning Cash Position,2450300000.0,1091200000.0,1200500000.0,1068700000.0,
Effect Of Exchange Rate Changes,-9700000.0,-23600000.0,-102600000.0,-61800000.0,
Changes In Cash,1281000000.0,1382700000.0,-6700000.0,193600000.0,
Financing Cash Flow,5125500000.0,825500000.0,375600000.0,-100300000.0,
Cash From Discontinued Financing Activities,0.0,168700000.0,375600000.0,-100300000.0,
Cash Flow From Continuing Financing Activities,5125500000.0,656800000.0,0.0,0.0,
Net Other Financing Charges,-194600000.0,-32500000.0,-500598802.39521,-27181208.053691,
Proceeds From Stock Option Exercised,8400000.0,-10000000.0,0.0,0.0,
Net Common Stock Issuance,1150000000.0,700000000.0,0.0,0.0,
Common Stock Payments,,,0.0,0.0,-93414054.376474
Common Stock Issuance,1150000000.0,700000000.0,0.0,0.0,
Net Issuance Payments Of Debt,4161700000.0,-700000.0,0.0,0.0,
Net Short Term Debt Issuance,,,0.0,-39463087.248322,34115037.946275
Short Term Debt Payments,,,0.0,-39463087.248322,-5323769.679509
Short Term Debt Issuance,,,0.0,0.0,39438807.625784
Net Long Term Debt Issuance,4161700000.0,-700000.0,0.0,0.0,
Long Term Debt Payments,-800000.0,-700000.0,0.0,0.0,
Long Term Debt Issuance,4162500000.0,0.0,0.0,680080536.912752,
Investing Cash Flow,-4229300000.0,311600000.0,-1212100000.0,-403100000.0,
Cash From Discontinued Investing Activities,-42800000.0,922800000.0,-1119200000.0,-390500000.0,
Cash Flow From Continuing Investing Activities,-4186500000.0,-611200000.0,-92900000.0,-12600000.0,
Net Other Investing Changes,4500000.0,500000.0,-18766241.1027,-8067114.09396,
Net Investment Purchase And Sale,-125000000.0,10000000.0,-10000000.0,0.0,
Sale Of Investment,0.0,10000000.0,0.0,0.0,
Purchase Of Investment,-125000000.0,0.0,-10000000.0,0.0,
Net Business Purchase And Sale,0.0,184200000.0,0.0,0.0,
Sale Of Business,0.0,184200000.0,0.0,0.0,
Purchase Of Business,,,0.0,-11006711.409396,-110444753.351226
Net PPE Purchase And Sale,-4066000000.0,-805900000.0,-82900000.0,-12600000.0,
Sale Of PPE,0.0,1600000.0,0.0,2000000.0,
Purchase Of PPE,-4066000000.0,-807500000.0,-82900000.0,-14600000.0,
Operating Cash Flow,384800000.0,245600000.0,829800000.0,697000000.0,
Cash From Discontinued Operating Activities,-17100000.0,515500000.0,1051800000.0,836700000.0,
Cash Flow From Continuing Operating Activities,401900000.0,-269900000.0,-222000000.0,-139700000.0,
Change In Working Capital,363400000.0,-72400000.0,-900000.0,-10000000.0,
Change In Other Working Capital,1565800000.0,10000000.0,1900000.0,800000.0,
Change In Other Current Liabilities,,,18235227.657892,-14241610.738255,22944508.618741
Change In Other Current Assets,-339200000.0,-23700000.0,-7800000.0,-5000000.0,
Change In Payables And Accrued Expense,-29000000.0,-28000000.0,1500000.0,13000000.0,
Change In Payable,-29000000.0,-28000000.0,1500000.0,13000000.0,
Change In Account Payable,-29000000.0,-28000000.0,1500000.0,13000000.0,
Change In Prepaid Assets,-17800000.0,-14800000.0,-5600000.0,-17900000.0,
Change In Inventory,,,43068579.821489,-245771812.080537,-63777956.160567
Change In Receivables,-816400000.0,-15900000.0,9100000.0,-900000.0,
Changes In Account Receivables,-714600000.0,-9800000.0,2300000.0,-2700000.0,
Other Non Cash Items,76700000.0,-600000.0,900000.0,6617449.66443,
Stock Based Compensation,83200000.0,54500000.0,28800000.0,9600000.0,
Unrealized Gain Loss On Investment Securities,-598900000.0,0.0,0.0,,
Provisionand Write Offof Assets,5500000.0,200000.0,-200000.0,1100000.0,
Asset Impairment Charge,,,85176816.178963,48912751.677852,0.0
Deferred Tax,-3400000.0,-2800000.0,-1300000.0,-2500000.0,
Deferred Income Tax,-3400000.0,-2800000.0,-1300000.0,-2500000.0,
Depreciation Amortization Depletion,468500000.0,85800000.0,36400000.0,29500000.0,
Depreciation And Amortization,468500000.0,85800000.0,36400000.0,29500000.0,
Amortization Cash Flow,6900000.0,1900000.0,1400000.0,600000.0,
Amortization Of Intangibles,6900000.0,1900000.0,1400000.0,600000.0,
Depreciation,461600000.0,83900000.0,35000000.0,28900000.0,
Operating Gains Losses,-2900000.0,17400000.0,13300000.0,12600000.0,
Earnings Losses From Equity Investments,24300000.0,-400000.0,10900000.0,14000000.0,
Net Foreign Currency Exchange Gain Loss,-27200000.0,17800000.0,2400000.0,-1400000.0,
Gain Loss On Sale Of Business,,,0.0,-510751677.852349,0.0
Net Income From Continuing Operations,9800000.0,-352000000.0,-299000000.0,-180000000.0,
