,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,197577000.0,-48158.640227,-504000.0,-452200.0,
Tax Rate For Calcs,0.29,0.002833,0.21,0.323,
Normalized EBITDA,-137500000.0,-250200000.0,-258200000.0,-127100000.0,
Total Unusual Items,681300000.0,-17000000.0,-2400000.0,-1400000.0,
Total Unusual Items Excluding Goodwill,681300000.0,-17000000.0,-2400000.0,-1400000.0,
Net Income From Continuing Operation Net Minority Interest,9800000.0,-352000000.0,-323600000.0,-305100000.0,
Reconciled Depreciation,468500000.0,85800000.0,36400000.0,29500000.0,
Reconciled Cost Of Revenue,115600000.0,35000000.0,12500000.0,26400000.0,
EBITDA,543800000.0,-267200000.0,-260600000.0,-128500000.0,
EBIT,75300000.0,-353000000.0,-297000000.0,-158000000.0,
Net Interest Income,-29700000.0,63600000.0,3300000.0,1000000.0,
Interest Expense,61500000.0,0.0,0.0,45583892.61745,
Interest Income,31800000.0,63600000.0,3300000.0,1000000.0,
Normalized Income,-473923000.0,-335048158.640227,-321704000.0,-304152200.0,
Net Income From Continuing And Discontinued Operation,82500000.0,-641400000.0,241300000.0,745600000.0,
Total Expenses,1141500000.0,491100000.0,295500000.0,171500000.0,
Total Operating Income As Reported,-611700000.0,-399600000.0,-285700000.0,-158000000.0,
Diluted Average Shares,253016971.0,235753600.0,373059228.0,377020285.0,
Basic Average Shares,253016971.0,235753600.0,370839686.0,368020254.0,
Diluted EPS,0.401949,-2.735059,0.60174,1.107785,
Basic EPS,0.401949,-2.735059,0.605355,1.439463,
Diluted NI Availto Com Stockholders,82500000.0,-641400000.0,241300000.0,745600000.0,
Average Dilution Earnings,,,0.0,-112053691.275168,0.0
Net Income Common Stockholders,82500000.0,-641400000.0,241300000.0,745600000.0,
Net Income,82500000.0,-641400000.0,241300000.0,745600000.0,
Minority Interests,0.0,0.0,-24600000.0,-125100000.0,
Net Income Including Noncontrolling Interests,82500000.0,-641400000.0,265900000.0,870700000.0,
Net Income Discontinuous Operations,72700000.0,-289400000.0,564900000.0,1050700000.0,
Net Income Continuous Operations,9800000.0,-352000000.0,-299000000.0,-180000000.0,
Tax Provision,4000000.0,-1000000.0,2000000.0,1100000.0,
Pretax Income,13800000.0,-353000000.0,-297000000.0,-178900000.0,
Other Income Expense,655200000.0,-17000000.0,-14600000.0,-21900000.0,
Other Non Operating Income Expenses,-1800000.0,-400000.0,-1300000.0,-6500000.0,
Special Income Charges,,,-12834707.942605,635651006.711409,0.0
Gain On Sale Of Business,,,0.0,510751677.852349,0.0
Other Special Charges,,,,-124899328.85906,
Impairment Of Capital Assets,,,12834707.942605,0.0,0.0
Restructuring And Mergern Acquisition,,,,0.0,0.0
Earnings From Equity Interest,-24300000.0,400000.0,-10900000.0,-14000000.0,
Gain On Sale Of Security,681300000.0,-17000000.0,-2400000.0,-1400000.0,
Net Non Operating Interest Income Expense,-29700000.0,63600000.0,3300000.0,1000000.0,
Interest Expense Non Operating,61500000.0,0.0,0.0,45583892.61745,
Interest Income Non Operating,31800000.0,63600000.0,3300000.0,1000000.0,
Operating Income,-611700000.0,-399600000.0,-285700000.0,-158000000.0,
Operating Expense,975300000.0,447400000.0,275900000.0,143100000.0,
Depreciation Amortization Depletion Income Statement,417900000.0,77100000.0,29300000.0,27500000.0,
Depreciation And Amortization In Income Statement,417900000.0,77100000.0,29300000.0,27500000.0,
Amortization,6900000.0,1900000.0,1400000.0,,
Amortization Of Intangibles Income Statement,6900000.0,1900000.0,1400000.0,,
Depreciation Income Statement,411000000.0,75200000.0,27900000.0,,
Research And Development,177300000.0,114800000.0,87100000.0,58300000.0,
Selling General And Administration,380100000.0,255500000.0,159500000.0,57300000.0,
Gross Profit,363600000.0,47800000.0,-9800000.0,-14900000.0,
Cost Of Revenue,166200000.0,43700000.0,19600000.0,28400000.0,
Total Revenue,529800000.0,91500000.0,9800000.0,13500000.0,
Operating Revenue,529800000.0,91500000.0,9800000.0,13500000.0,
