,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,260562000.0,166915000.0,119464000.0,-39769000.0,
Repurchase Of Capital Stock,0.0,0.0,-34000.0,-3000.0,
Repayment Of Debt,0.0,0.0,-207649000.0,-16571000.0,
Issuance Of Debt,2000000000.0,0.0,0.0,0.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-342552000.0,-213514000.0,-134942000.0,-163364000.0,
Interest Paid Supplemental Data,29000.0,75000.0,670000.0,1238000.0,
Income Tax Paid Supplemental Data,7767000.0,4995000.0,4454000.0,2223000.0,
End Cash Position,954357000.0,154214000.0,91224000.0,215204000.0,
Beginning Cash Position,154214000.0,91224000.0,215204000.0,320958000.0,
Changes In Cash,800143000.0,62990000.0,-123980000.0,-105754000.0,
Financing Cash Flow,2003729000.0,12785000.0,-192185000.0,6347000.0,
Cash Flow From Continuing Financing Activities,2003729000.0,12785000.0,-192185000.0,6347000.0,
Net Other Financing Charges,-54829000.0,-19922000.0,-18436000.0,-2483000.0,
Proceeds From Stock Option Exercised,58558000.0,32707000.0,33934000.0,25404000.0,
Net Common Stock Issuance,0.0,0.0,-34000.0,-3000.0,
Common Stock Payments,0.0,0.0,-34000.0,-3000.0,
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,2000000000.0,0.0,-207649000.0,-16571000.0,
Net Short Term Debt Issuance,,,,0.0,0.0
Short Term Debt Payments,,,,0.0,0.0
Net Long Term Debt Issuance,2000000000.0,0.0,-207649000.0,-16571000.0,
Long Term Debt Payments,0.0,0.0,-207649000.0,-16571000.0,
Long Term Debt Issuance,2000000000.0,0.0,0.0,0.0,
Investing Cash Flow,-1806700000.0,-330224000.0,-186201000.0,-235696000.0,
Cash Flow From Continuing Investing Activities,-1806700000.0,-330224000.0,-186201000.0,-235696000.0,
Net Other Investing Changes,-49056000.0,-37953000.0,-6009000.0,-88151000.0,
Net Investment Purchase And Sale,-1415092000.0,-78757000.0,-45250000.0,15819000.0,
Sale Of Investment,2121993000.0,1493356000.0,1832263000.0,1148770000.0,
Purchase Of Investment,-3537085000.0,-1572113000.0,-1877513000.0,-1132951000.0,
Net Business Purchase And Sale,,,-6083000.0,-88187000.0,-5605000.0
Purchase Of Business,,,-6083000.0,-88187000.0,-5605000.0
Net PPE Purchase And Sale,-315617000.0,-185037000.0,-114396000.0,-143606000.0,
Purchase Of PPE,-315617000.0,-185037000.0,-114396000.0,-143606000.0,
Capital Expenditure Reported,-26935000.0,-28477000.0,-20546000.0,-19758000.0,
Operating Cash Flow,603114000.0,380429000.0,254406000.0,123595000.0,
Cash Flow From Continuing Operating Activities,603114000.0,380429000.0,254406000.0,123595000.0,
Change In Working Capital,-97322000.0,-108922000.0,-104728000.0,-79296000.0,
Change In Other Working Capital,74910000.0,18205000.0,33008000.0,34264000.0,
Change In Other Current Liabilities,-64888000.0,-54288000.0,-38088000.0,-31944000.0,
Change In Other Current Assets,6792000.0,2170000.0,1018000.0,-539000.0,
Change In Payables And Accrued Expense,50961000.0,47268000.0,37569000.0,-14968000.0,
Change In Accrued Expense,42097000.0,28642000.0,25788000.0,-5363000.0,
Change In Payable,8864000.0,18626000.0,11781000.0,-9605000.0,
Change In Account Payable,8864000.0,18626000.0,11781000.0,-9605000.0,
Change In Prepaid Assets,-79995000.0,-38227000.0,-22125000.0,-7701000.0,
Change In Receivables,-85102000.0,-84050000.0,-116110000.0,-58408000.0,
Changes In Account Receivables,-80595000.0,-78523000.0,-113361000.0,-56195000.0,
Other Non Cash Items,175082000.0,131900000.0,111514000.0,86735000.0,
Stock Based Compensation,451454000.0,338461000.0,273989000.0,202777000.0,
Provisionand Write Offof Assets,14989000.0,10038000.0,13637000.0,4828000.0,
Amortization Of Securities,-29897000.0,-42081000.0,-44441000.0,-263000.0,
Deferred Tax,1333000.0,2111000.0,2264000.0,-140000.0,
Deferred Income Tax,1333000.0,2111000.0,2264000.0,-140000.0,
Depreciation Amortization Depletion,189742000.0,127722000.0,135820000.0,102335000.0,
Depreciation And Amortization,189742000.0,127722000.0,135820000.0,102335000.0,
Operating Gains Losses,,,50300000.0,,72234000.0
Net Income From Continuing Operations,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
