,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,-10563000.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,
Normalized EBITDA,105802000.0,62047000.0,14130000.0,-83414000.0,
Total Unusual Items,0.0,0.0,-50300000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,-50300000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
Reconciled Depreciation,189742000.0,127722000.0,135820000.0,102335000.0,
Reconciled Cost Of Revenue,552525000.0,378702000.0,307005000.0,232610000.0,
EBITDA,105802000.0,62047000.0,-36170000.0,-83414000.0,
EBIT,-83940000.0,-65675000.0,-171990000.0,-185749000.0,
Net Interest Income,122453000.0,82230000.0,62295000.0,9893000.0,
Interest Expense,8766000.0,5196000.0,5872000.0,4984000.0,
Interest Income,131219000.0,87426000.0,68167000.0,14877000.0,
Normalized Income,-102267000.0,-78800000.0,-144212000.0,-193381000.0,
Net Income From Continuing And Discontinued Operation,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
Total Expenses,2375142000.0,1824387000.0,1482230000.0,1176444000.0,
Total Operating Income As Reported,-207205000.0,-154761000.0,-185485000.0,-201203000.0,
Diluted Average Shares,348421000.0,341411000.0,333656000.0,326332000.0,
Basic Average Shares,348421000.0,341411000.0,333656000.0,326332000.0,
Diluted EPS,-0.29,-0.23,-0.55,-0.59,
Basic EPS,-0.29,-0.23,-0.55,-0.59,
Diluted NI Availto Com Stockholders,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
Net Income Common Stockholders,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
Net Income,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
Net Income Including Noncontrolling Interests,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
Net Income Continuous Operations,-102267000.0,-78800000.0,-183949000.0,-193381000.0,
Tax Provision,9561000.0,7929000.0,6087000.0,2648000.0,
Pretax Income,-92706000.0,-70871000.0,-177862000.0,-190733000.0,
Other Income Expense,-7954000.0,1660000.0,-54672000.0,577000.0,
Other Non Operating Income Expenses,-7954000.0,1660000.0,-4372000.0,577000.0,
Special Income Charges,0.0,0.0,-50300000.0,0.0,
Other Special Charges,,,50300000.0,,72234000.0
Net Non Operating Interest Income Expense,122453000.0,82230000.0,62295000.0,9893000.0,
Interest Expense Non Operating,8766000.0,5196000.0,5872000.0,4984000.0,
Interest Income Non Operating,131219000.0,87426000.0,68167000.0,14877000.0,
Operating Income,-207205000.0,-154761000.0,-185485000.0,-201203000.0,
Operating Expense,1822617000.0,1445685000.0,1175225000.0,943834000.0,
Research And Development,512489000.0,421374000.0,358143000.0,298303000.0,
Selling General And Administration,1310128000.0,1024311000.0,817082000.0,645531000.0,
Selling And Marketing Expense,920817000.0,745791000.0,599117000.0,465762000.0,
General And Administrative Expense,389311000.0,278520000.0,217965000.0,179769000.0,
Other Gand A,389311000.0,278520000.0,217965000.0,179769000.0,
Gross Profit,1615412000.0,1290924000.0,989740000.0,742631000.0,
Cost Of Revenue,552525000.0,378702000.0,307005000.0,232610000.0,
Total Revenue,2167937000.0,1669626000.0,1296745000.0,975241000.0,
Operating Revenue,2167937000.0,1669626000.0,1296745000.0,975241000.0,
