,2026-05-31,2025-05-31,2024-05-31,2023-05-31,2022-05-31
Ordinary Shares Number,1483498703.0,1476000000.0,1503000000.0,1532000000.0,
Share Issued,1483498703.0,1476000000.0,1503000000.0,1532000000.0,
Net Debt,379000000.0,497000000.0,,1492000000.0,856000000.0
Total Debt,11033000000.0,11013000000.0,11952000000.0,12144000000.0,
Tangible Book Value,14366000000.0,12714000000.0,13931000000.0,13449000000.0,
Invested Capital,22807000000.0,21174000000.0,23339000000.0,22937000000.0,
Working Capital,12056000000.0,12796000000.0,14789000000.0,15946000000.0,
Net Tangible Assets,14366000000.0,12714000000.0,13931000000.0,13449000000.0,
Capital Lease Obligations,3091000000.0,3052000000.0,3043000000.0,3211000000.0,
Common Stock Equity,14865000000.0,13213000000.0,14430000000.0,14004000000.0,
Total Capitalization,20807000000.0,21174000000.0,22333000000.0,22931000000.0,
Total Equity Gross Minority Interest,14865000000.0,13213000000.0,14430000000.0,14004000000.0,
Stockholders Equity,14865000000.0,13213000000.0,14430000000.0,14004000000.0,
Gains Losses Not Affecting Retained Earnings,-141000000.0,-258000000.0,53000000.0,231000000.0,
Other Equity Adjustments,-141000000.0,-258000000.0,53000000.0,231000000.0,
Retained Earnings,-155000000.0,-727000000.0,965000000.0,1358000000.0,
Additional Paid In Capital,15158000000.0,14195000000.0,13409000000.0,12412000000.0,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Total Liabilities Net Minority Interest,23545000000.0,23366000000.0,23680000000.0,23527000000.0,
Total Non Current Liabilities Net Minority Interest,10998000000.0,12800000000.0,13087000000.0,14271000000.0,
Other Non Current Liabilities,2443000000.0,2289000000.0,2618000000.0,2558000000.0,
Preferred Securities Outside Stock Equity,0.0,0.0,0.0,0.0,
Non Current Deferred Liabilities,,,,,2613000000.0
Non Current Deferred Taxes Liabilities,,,,,2613000000.0
Long Term Debt And Capital Lease Obligation,8555000000.0,10511000000.0,10469000000.0,11713000000.0,
Long Term Capital Lease Obligation,2613000000.0,2550000000.0,2566000000.0,2786000000.0,
Long Term Debt,5942000000.0,7961000000.0,7903000000.0,8927000000.0,
Current Liabilities,12547000000.0,10566000000.0,10593000000.0,9256000000.0,
Current Debt And Capital Lease Obligation,2478000000.0,502000000.0,1483000000.0,431000000.0,
