,2026-05-31,2025-05-31,2024-05-31,2023-05-31,2022-05-31
Free Cash Flow,2184000000.0,3268000000.0,6617000000.0,4872000000.0,
Repurchase Of Capital Stock,-146000000.0,-2985000000.0,-4250000000.0,-5480000000.0,
Repayment Of Debt,0.0,-1000000000.0,0.0,-500000000.0,
Issuance Of Debt,,,,,0.0
Capital Expenditure,-684000000.0,-430000000.0,-812000000.0,-969000000.0,
Interest Paid Supplemental Data,323000000.0,389000000.0,381000000.0,347000000.0,
Income Tax Paid Supplemental Data,0.0,1226000000.0,1299000000.0,1517000000.0,
End Cash Position,7563000000.0,7464000000.0,9860000000.0,7441000000.0,
Beginning Cash Position,7464000000.0,9860000000.0,7441000000.0,8574000000.0,
Effect Of Exchange Rate Changes,11000000.0,1000000.0,-16000000.0,-91000000.0,
Changes In Cash,88000000.0,-2397000000.0,2435000000.0,-1042000000.0,
Financing Cash Flow,-2292000000.0,-5820000000.0,-5888000000.0,-7447000000.0,
Cash Flow From Continuing Financing Activities,-2292000000.0,-5820000000.0,-5888000000.0,-7447000000.0,
Net Other Financing Charges,-93000000.0,-86000000.0,-136000000.0,-102000000.0,
Proceeds From Stock Option Exercised,354000000.0,551000000.0,667000000.0,651000000.0,
Cash Dividends Paid,-2407000000.0,-2300000000.0,-2169000000.0,-2012000000.0,
Common Stock Dividend Paid,-2407000000.0,-2300000000.0,-2169000000.0,-2012000000.0,
Net Common Stock Issuance,-146000000.0,-2985000000.0,-4250000000.0,-5480000000.0,
Common Stock Payments,-146000000.0,-2985000000.0,-4250000000.0,-5480000000.0,
Net Issuance Payments Of Debt,0.0,-1000000000.0,0.0,-504000000.0,
Net Short Term Debt Issuance,,-1000000.0,0.0,-4000000.0,15000000.0
Net Long Term Debt Issuance,0.0,-1000000000.0,0.0,-500000000.0,
Long Term Debt Payments,0.0,-1000000000.0,0.0,-500000000.0,
Long Term Debt Issuance,,,,,0.0
Investing Cash Flow,-488000000.0,-275000000.0,894000000.0,564000000.0,
Cash Flow From Continuing Investing Activities,-488000000.0,-275000000.0,894000000.0,564000000.0,
Net Other Investing Changes,-65000000.0,8000000.0,-15000000.0,52000000.0,
Net Investment Purchase And Sale,261000000.0,147000000.0,1721000000.0,1481000000.0,
Sale Of Investment,1577000000.0,3381000000.0,6488000000.0,7540000000.0,
Purchase Of Investment,-1316000000.0,-3234000000.0,-4767000000.0,-6059000000.0,
Net PPE Purchase And Sale,-684000000.0,-430000000.0,-812000000.0,-969000000.0,
Purchase Of PPE,-684000000.0,-430000000.0,-812000000.0,-969000000.0,
Operating Cash Flow,2868000000.0,3698000000.0,7429000000.0,5841000000.0,
Cash Flow From Continuing Operating Activities,2868000000.0,3698000000.0,7429000000.0,5841000000.0,
Change In Working Capital,-1678000000.0,-787000000.0,716000000.0,-513000000.0,
Change In Payables And Accrued Expense,-959000000.0,-426000000.0,397000000.0,-225000000.0,
Change In Payable,-959000000.0,-426000000.0,397000000.0,-225000000.0,
Change In Account Payable,-959000000.0,-426000000.0,397000000.0,-225000000.0,
Change In Prepaid Assets,519000000.0,-224000000.0,-260000000.0,-644000000.0,
Change In Inventory,-31000000.0,120000000.0,908000000.0,-133000000.0,
Change In Receivables,-1207000000.0,-257000000.0,-329000000.0,489000000.0,
Changes In Account Receivables,-1207000000.0,-257000000.0,-329000000.0,489000000.0,
Stock Based Compensation,715000000.0,709000000.0,804000000.0,755000000.0,
Deferred Tax,-96000000.0,-288000000.0,-497000000.0,-117000000.0,
Deferred Income Tax,-96000000.0,-288000000.0,-497000000.0,-117000000.0,
Depreciation Amortization Depletion,797000000.0,808000000.0,844000000.0,859000000.0,
Depreciation And Amortization,797000000.0,808000000.0,844000000.0,859000000.0,
Amortization Cash Flow,50000000.0,33000000.0,48000000.0,156000000.0,
Amortization Of Intangibles,50000000.0,33000000.0,48000000.0,156000000.0,
Depreciation,747000000.0,775000000.0,796000000.0,703000000.0,
Operating Gains Losses,22000000.0,37000000.0,-138000000.0,-213000000.0,
Net Foreign Currency Exchange Gain Loss,22000000.0,37000000.0,-138000000.0,-213000000.0,
Net Income From Continuing Operations,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
