,2026-05-31,2025-05-31,2024-05-31,2023-05-31,2022-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.203077,0.171429,0.149,0.182,
Normalized EBITDA,4594000000.0,4510000000.0,7155000000.0,6774000000.0,
Net Income From Continuing Operation Net Minority Interest,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Reconciled Depreciation,797000000.0,808000000.0,844000000.0,859000000.0,
Reconciled Cost Of Revenue,26487000000.0,26519000000.0,28475000000.0,28925000000.0,
EBITDA,4594000000.0,4510000000.0,7155000000.0,6774000000.0,
EBIT,3797000000.0,3702000000.0,6311000000.0,5915000000.0,
Net Interest Income,50000000.0,107000000.0,161000000.0,6000000.0,
Normalized Income,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Net Income From Continuing And Discontinued Operation,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Total Expenses,42601000000.0,42607000000.0,45051000000.0,45302000000.0,
Diluted Average Shares,1481000000.0,1487600000.0,1529700000.0,1569800000.0,
Basic Average Shares,1479800000.0,1484900000.0,1517600000.0,1551600000.0,
Diluted EPS,2.1,2.16,3.73,3.23,
Basic EPS,2.1,2.17,3.76,3.27,
Diluted NI Availto Com Stockholders,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Net Income Common Stockholders,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Net Income,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Net Income Including Noncontrolling Interests,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Net Income Continuous Operations,3108000000.0,3219000000.0,5700000000.0,5070000000.0,
Tax Provision,792000000.0,666000000.0,1000000000.0,1131000000.0,
Pretax Income,3900000000.0,3885000000.0,6700000000.0,6201000000.0,
Other Income Expense,53000000.0,76000000.0,228000000.0,280000000.0,
Other Non Operating Income Expenses,53000000.0,76000000.0,228000000.0,280000000.0,
Net Non Operating Interest Income Expense,50000000.0,107000000.0,161000000.0,6000000.0,
Total Other Finance Cost,-50000000.0,-107000000.0,-161000000.0,-6000000.0,
Operating Income,3797000000.0,3702000000.0,6311000000.0,5915000000.0,
Operating Expense,16114000000.0,16088000000.0,16576000000.0,16377000000.0,
Other Operating Expenses,,,,12317000000.0,10954000000.0
Selling General And Administration,16114000000.0,16088000000.0,16576000000.0,16377000000.0,
Selling And Marketing Expense,4754000000.0,4689000000.0,4285000000.0,4060000000.0,
General And Administrative Expense,11360000000.0,11399000000.0,12291000000.0,12317000000.0,
Other Gand A,11360000000.0,11399000000.0,12291000000.0,12317000000.0,
Gross Profit,19911000000.0,19790000000.0,22887000000.0,22292000000.0,
Cost Of Revenue,26487000000.0,26519000000.0,28475000000.0,28925000000.0,
Total Revenue,46398000000.0,46309000000.0,51362000000.0,51217000000.0,
Operating Revenue,46398000000.0,46309000000.0,51362000000.0,51217000000.0,
