,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,96676000000.0,60853000000.0,27021000000.0,3808000000.0,
Repurchase Of Capital Stock,-40086000000.0,-33706000000.0,-9533000000.0,-10039000000.0,
Repayment Of Debt,0.0,-1250000000.0,-1250000000.0,0.0,
Issuance Of Debt,,,0.0,0.0,4977000000.0
Capital Expenditure,-6042000000.0,-3236000000.0,-1069000000.0,-1833000000.0,
Interest Paid Supplemental Data,,246000000.0,252000000.0,254000000.0,246000000.0
Income Tax Paid Supplemental Data,20288000000.0,15118000000.0,6549000000.0,1404000000.0,
End Cash Position,10605000000.0,8589000000.0,7280000000.0,3389000000.0,
Beginning Cash Position,8589000000.0,7280000000.0,3389000000.0,1990000000.0,
Changes In Cash,2016000000.0,1309000000.0,3891000000.0,1399000000.0,
Financing Cash Flow,-48474000000.0,-42359000000.0,-13633000000.0,-11617000000.0,
Cash Flow From Continuing Financing Activities,-48474000000.0,-42359000000.0,-13633000000.0,-11617000000.0,
Net Other Financing Charges,-8058000000.0,-7059000000.0,-2858000000.0,-1535000000.0,
Proceeds From Stock Option Exercised,644000000.0,490000000.0,403000000.0,355000000.0,
Cash Dividends Paid,-974000000.0,-834000000.0,-395000000.0,-398000000.0,
Common Stock Dividend Paid,-974000000.0,-834000000.0,-395000000.0,-398000000.0,
Net Common Stock Issuance,-40086000000.0,-33706000000.0,-9533000000.0,-10039000000.0,
Common Stock Payments,-40086000000.0,-33706000000.0,-9533000000.0,-10039000000.0,
Net Issuance Payments Of Debt,0.0,-1250000000.0,-1250000000.0,0.0,
Net Long Term Debt Issuance,0.0,-1250000000.0,-1250000000.0,0.0,
Long Term Debt Payments,0.0,-1250000000.0,-1250000000.0,0.0,
Long Term Debt Issuance,,,0.0,0.0,4977000000.0
Investing Cash Flow,-52228000000.0,-20421000000.0,-10566000000.0,7375000000.0,
Cash Flow From Continuing Investing Activities,-52228000000.0,-20421000000.0,-10566000000.0,7375000000.0,
Net Other Investing Changes,,22000000.0,-124000000.0,,
Net Investment Purchase And Sale,-31651000000.0,-16200000000.0,-9290000000.0,9257000000.0,
Sale Of Investment,26467000000.0,11861000000.0,9783000000.0,21239000000.0,
Purchase Of Investment,-58118000000.0,-28061000000.0,-19073000000.0,-11982000000.0,
Net Business Purchase And Sale,-14535000000.0,-1007000000.0,-83000000.0,-49000000.0,
Purchase Of Business,-14535000000.0,-1007000000.0,-83000000.0,-49000000.0,
Net PPE Purchase And Sale,-6042000000.0,-3236000000.0,-1069000000.0,-1833000000.0,
Purchase Of PPE,-6042000000.0,-3236000000.0,-1069000000.0,-1833000000.0,
Operating Cash Flow,102718000000.0,64089000000.0,28090000000.0,5641000000.0,
Cash Flow From Continuing Operating Activities,102718000000.0,64089000000.0,28090000000.0,5640000000.0,
Change In Working Capital,-15949000000.0,-9383000000.0,-3722000000.0,-2207000000.0,
Change In Other Current Liabilities,1844000000.0,1221000000.0,514000000.0,252000000.0,
Change In Payables And Accrued Expense,8353000000.0,7635000000.0,3556000000.0,790000000.0,
Change In Accrued Expense,5257000000.0,4278000000.0,2025000000.0,1341000000.0,
Change In Payable,3096000000.0,3357000000.0,1531000000.0,-551000000.0,
Change In Account Payable,3096000000.0,3357000000.0,1531000000.0,-551000000.0,
Change In Prepaid Assets,577000000.0,-395000000.0,-1522000000.0,-1517000000.0,
Change In Inventory,-11324000000.0,-4781000000.0,-98000000.0,-2554000000.0,
Change In Receivables,-15399000000.0,-13063000000.0,-6172000000.0,822000000.0,
Changes In Account Receivables,-15399000000.0,-13063000000.0,-6172000000.0,822000000.0,
Other Non Cash Items,-287000000.0,-502000000.0,-278000000.0,1347000000.0,
Stock Based Compensation,6386000000.0,4737000000.0,3549000000.0,2709000000.0,
Deferred Tax,-1424000000.0,-4477000000.0,-2489000000.0,-2164000000.0,
Deferred Income Tax,-1424000000.0,-4477000000.0,-2489000000.0,-2164000000.0,
Depreciation Amortization Depletion,2843000000.0,1864000000.0,1508000000.0,1543000000.0,
Depreciation And Amortization,2843000000.0,1864000000.0,1508000000.0,1543000000.0,
Amortization Cash Flow,,,614000000.0,699000000.0,563000000.0
Amortization Of Intangibles,,,614000000.0,699000000.0,563000000.0
Depreciation,,,894000000.0,844000000.0,611000000.0
Operating Gains Losses,-8918000000.0,-1030000000.0,-238000000.0,45000000.0,
Gain Loss On Investment Securities,-8918000000.0,-1030000000.0,-238000000.0,45000000.0,
Net Income From Continuing Operations,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
