,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,708359464.0,666419000.0,631221273.0,604674000.0,
Share Issued,708359464.0,666419000.0,631221273.0,604674000.0,
Net Debt,,294688000.0,326534000.0,,
Total Debt,1802704000.0,1805279000.0,1762799000.0,1556809000.0,
Tangible Book Value,233626000.0,45605000.0,-118899000.0,116974000.0,
Invested Capital,1402282000.0,1227817000.0,1081290000.0,1295010000.0,
Working Capital,-228367000.0,64822000.0,223047000.0,1357769000.0,
Net Tangible Assets,233626000.0,45605000.0,-118899000.0,116974000.0,
Capital Lease Obligations,794906000.0,798908000.0,757799000.0,567825000.0,
Common Stock Equity,394484000.0,221446000.0,76290000.0,306026000.0,
Total Capitalization,1387582000.0,1227817000.0,1081290000.0,1295010000.0,
Total Equity Gross Minority Interest,374980000.0,208654000.0,68626000.0,305035000.0,
Minority Interest,-19504000.0,-12792000.0,-7664000.0,-991000.0,
Stockholders Equity,394484000.0,221446000.0,76290000.0,306026000.0,
Gains Losses Not Affecting Retained Earnings,16555000.0,-3895000.0,1536000.0,671000.0,
Other Equity Adjustments,16555000.0,-3895000.0,1536000.0,671000.0,
Retained Earnings,-5060694000.0,-3995637000.0,-3060253000.0,-1908307000.0,
Additional Paid In Capital,5438559000.0,4220916000.0,3134946000.0,2213603000.0,
Capital Stock,64000.0,62000.0,61000.0,59000.0,
Common Stock,64000.0,62000.0,61000.0,59000.0,
Total Liabilities Net Minority Interest,9182138000.0,6966349000.0,6099452000.0,5070452000.0,
Total Non Current Liabilities Net Minority Interest,4055748000.0,3303141000.0,3047086000.0,2589617000.0,
Other Non Current Liabilities,82335000.0,59712000.0,22330000.0,10752000.0,
Preferred Securities Outside Stock Equity,,,,,0.0
Non Current Deferred Liabilities,2336959000.0,1567007000.0,1373250000.0,1095291000.0,
Non Current Deferred Revenue,2336959000.0,1567007000.0,1373250000.0,1095291000.0,
Long Term Debt And Capital Lease Obligation,1636454000.0,1676422000.0,1651506000.0,1483574000.0,
Long Term Capital Lease Obligation,643356000.0,670051000.0,646506000.0,494590000.0,
Long Term Debt,993098000.0,1006371000.0,1005000000.0,988984000.0,
Current Liabilities,5126390000.0,3663208000.0,3052366000.0,2480835000.0,
Other Current Liabilities,506235000.0,347805000.0,324558000.0,237531000.0,
Current Deferred Liabilities,4168971000.0,3004969000.0,2406292000.0,1941943000.0,
Current Deferred Revenue,4168971000.0,3004969000.0,2406292000.0,1941943000.0,
Current Debt And Capital Lease Obligation,166250000.0,128857000.0,111293000.0,73235000.0,
Current Capital Lease Obligation,151550000.0,128857000.0,111293000.0,73235000.0,
Current Debt,14700000.0,,,,
Other Current Borrowings,14700000.0,,,,
Pensionand Other Post Retirement Benefit Plans Current,47586000.0,28147000.0,32125000.0,21003000.0,
Payables And Accrued Expenses,237348000.0,153430000.0,178098000.0,207123000.0,
Current Accrued Expenses,73872000.0,55936000.0,58379000.0,86580000.0,
Interest Payable,6458000.0,6458000.0,6458000.0,6458000.0,
Payables,163476000.0,97494000.0,119719000.0,120543000.0,
Total Tax Payable,98528000.0,54609000.0,59632000.0,49361000.0,
Accounts Payable,64948000.0,42885000.0,60087000.0,71182000.0,
Total Assets,9557118000.0,7175003000.0,6168078000.0,5375487000.0,
Total Non Current Assets,4659095000.0,3446973000.0,2892665000.0,1536883000.0,
Other Non Current Assets,21644000.0,13619000.0,10284000.0,4323000.0,
Non Current Deferred Assets,448169000.0,321824000.0,283326000.0,225132000.0,
Investments And Advances,2492593000.0,1610215000.0,1043399000.0,0.0,
Goodwill And Other Intangible Assets,160858000.0,175841000.0,195189000.0,189052000.0,
Other Intangible Assets,18234000.0,34153000.0,53060000.0,54717000.0,
Goodwill,142624000.0,141688000.0,142129000.0,134335000.0,
Net PPE,1535831000.0,1325474000.0,1360467000.0,1118376000.0,
Accumulated Depreciation,-684441000.0,-587440000.0,-442709000.0,-266782000.0,
Gross PPE,2220272000.0,1912914000.0,1803176000.0,1385158000.0,
Leases,262733000.0,245150000.0,101785000.0,69311000.0,
Construction In Progress,179571000.0,46158000.0,77043000.0,24306000.0,
Other Properties,651055000.0,665885000.0,665107000.0,526030000.0,
Machinery Furniture Equipment,1126913000.0,955721000.0,959241000.0,765511000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4898023000.0,3728030000.0,3275413000.0,3838604000.0,
Other Current Assets,11061000.0,7806000.0,11297000.0,10442000.0,
Current Deferred Assets,832941000.0,628232000.0,501821000.0,420136000.0,
Prepaid Assets,63015000.0,47919000.0,48555000.0,45173000.0,
Receivables,935864000.0,634528000.0,520466000.0,385379000.0,
Accrued Interest Receivable,35218000.0,19690000.0,14697000.0,6026000.0,
Accounts Receivable,900646000.0,614838000.0,505769000.0,379353000.0,
Cash Cash Equivalents And Short Term Investments,3055142000.0,2409545000.0,2193274000.0,2977474000.0,
Other Short Term Investments,1849823000.0,1697862000.0,1514808000.0,0.0,
Cash And Cash Equivalents,1205319000.0,711683000.0,678466000.0,2977474000.0,
