,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1352880000.0,641300000.0,124013000.0,-58367000.0,
Issuance Of Debt,0.0,0.0,14700000.0,0.0,
Issuance Of Capital Stock,88526000.0,70344000.0,53226000.0,45752000.0,
Capital Expenditure,-443478000.0,-181016000.0,-334167000.0,-427663000.0,
Interest Paid Supplemental Data,38750000.0,38750000.0,38750000.0,38965000.0,
Income Tax Paid Supplemental Data,3118000.0,1141000.0,3145000.0,953000.0,
End Cash Position,1205319000.0,711683000.0,678466000.0,2977474000.0,
Beginning Cash Position,711683000.0,678466000.0,2977474000.0,3004300000.0,
Effect Of Exchange Rate Changes,1393000.0,-2921000.0,735000.0,1287000.0,
Changes In Cash,492243000.0,36138000.0,-2299743000.0,-28113000.0,
Financing Cash Flow,88526000.0,65894000.0,67176000.0,43642000.0,
Cash Flow From Continuing Financing Activities,88526000.0,65894000.0,67176000.0,43642000.0,
Net Other Financing Charges,,-4450000.0,-750000.0,-2110000.0,-2339000.0
Net Preferred Stock Issuance,,,0.0,0.0,534286000.0
Preferred Stock Issuance,,,0.0,0.0,534286000.0
Net Common Stock Issuance,88526000.0,70344000.0,53226000.0,45752000.0,
Common Stock Issuance,88526000.0,70344000.0,53226000.0,45752000.0,
Net Issuance Payments Of Debt,0.0,0.0,14700000.0,0.0,
Net Long Term Debt Issuance,0.0,0.0,14700000.0,0.0,
Long Term Debt Issuance,0.0,0.0,14700000.0,0.0,
Investing Cash Flow,-1392641000.0,-852072000.0,-2825099000.0,-441051000.0,
Cash Flow From Continuing Investing Activities,-1392641000.0,-852072000.0,-2825099000.0,-441051000.0,
Net Investment Purchase And Sale,-949163000.0,-668216000.0,-2487073000.0,0.0,
Sale Of Investment,4487996000.0,3974324000.0,2104901000.0,0.0,
Purchase Of Investment,-5437159000.0,-4642540000.0,-4591974000.0,0.0,
Net Business Purchase And Sale,0.0,-2840000.0,-3859000.0,-13388000.0,
Purchase Of Business,0.0,-2840000.0,-3859000.0,-13388000.0,
Net Intangibles Purchase And Sale,-2500000.0,-1370000.0,-13500000.0,-1500000.0,
Purchase Of Intangibles,-2500000.0,-1370000.0,-13500000.0,-1500000.0,
Net PPE Purchase And Sale,-440978000.0,-179646000.0,-320667000.0,-426163000.0,
Purchase Of PPE,-440978000.0,-179646000.0,-320667000.0,-426163000.0,
Operating Cash Flow,1796358000.0,822316000.0,458180000.0,369296000.0,
Cash Flow From Continuing Operating Activities,1796358000.0,822316000.0,458180000.0,369296000.0,
Change In Working Capital,1453963000.0,480972000.0,506822000.0,513134000.0,
Change In Other Working Capital,1603923000.0,629725000.0,602415000.0,560659000.0,
Change In Other Current Liabilities,71618000.0,-21526000.0,44105000.0,30082000.0,
Change In Other Current Assets,-6390000.0,-3376000.0,-5961000.0,-1221000.0,
Change In Payables And Accrued Expense,109283000.0,-10232000.0,5205000.0,29862000.0,
Change In Accrued Expense,83931000.0,-2705000.0,8680000.0,19560000.0,
Change In Payable,25352000.0,-7527000.0,-3475000.0,10302000.0,
Change In Account Payable,25352000.0,-7527000.0,-3475000.0,10302000.0,
Change In Prepaid Assets,-33778000.0,-3140000.0,-12770000.0,-33769000.0,
Change In Receivables,-290693000.0,-110479000.0,-126172000.0,-72479000.0,
Changes In Account Receivables,-290693000.0,-110479000.0,-126172000.0,-72479000.0,
Other Non Cash Items,121704000.0,119490000.0,98379000.0,70361000.0,
Stock Based Compensation,1129004000.0,1015794000.0,867967000.0,589498000.0,
Asset Impairment Charge,4031000.0,3072000.0,8969000.0,361000.0,
Amortization Of Securities,-66546000.0,-82835000.0,-73162000.0,0.0,
Depreciation Amortization Depletion,225820000.0,226437000.0,208142000.0,130083000.0,
Depreciation And Amortization,225820000.0,226437000.0,208142000.0,130083000.0,
Net Income From Continuing Operations,-1071618000.0,-940614000.0,-1158937000.0,-934141000.0,
