,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.0,0.21
Normalized EBITDA,-802175000.0,-670250000.0,-910950000.0,-761864000.0
Net Income From Continuing Operation Net Minority Interest,-1065057000.0,-935384000.0,-1151946000.0,-924366000.0
Reconciled Depreciation,225820000.0,226437000.0,208142000.0,130083000.0
Reconciled Cost Of Revenue,1072299000.0,801162000.0,649115000.0,547658000.0
EBITDA,-802175000.0,-670250000.0,-910950000.0,-761864000.0
EBIT,-1027995000.0,-896687000.0,-1119092000.0,-891947000.0
Net Interest Income,160153000.0,138347000.0,101111000.0,-1061000.0
Interest Expense,40030000.0,39813000.0,39391000.0,38642000.0
Interest Income,201610000.0,179531000.0,141818000.0,38842000.0
Normalized Income,-1065057000.0,-935384000.0,-1151946000.0,-924366000.0
Net Income From Continuing And Discontinued Operation,-1065057000.0,-935384000.0,-1151946000.0,-924366000.0
Total Expenses,6122893000.0,4665296000.0,4058341000.0,3148836000.0
Total Operating Income As Reported,-1232342000.0,-1063317000.0,-1259067000.0,-923784000.0
Diluted Average Shares,689612000.0,647482000.0,616445000.0,595559000.0
Basic Average Shares,689612000.0,647482000.0,616445000.0,595559000.0
Diluted EPS,-1.54,-1.44,-1.87,-1.55
Basic EPS,-1.54,-1.44,-1.87,-1.55
Diluted NI Availto Com Stockholders,-1065057000.0,-935384000.0,-1151946000.0,-924366000.0
Net Income Common Stockholders,-1065057000.0,-935384000.0,-1151946000.0,-924366000.0
Net Income,-1065057000.0,-935384000.0,-1151946000.0,-924366000.0
Minority Interests,6561000.0,5230000.0,6991000.0,9775000.0
Net Income Including Noncontrolling Interests,-1071618000.0,-940614000.0,-1158937000.0,-934141000.0
Net Income Continuous Operations,-1071618000.0,-940614000.0,-1158937000.0,-934141000.0
Tax Provision,3593000.0,4114000.0,454000.0,3552000.0
Pretax Income,-1068025000.0,-936500000.0,-1158483000.0,-930589000.0
Other Income Expense,4164000.0,-11530000.0,-527000.0,-5744000.0
Other Non Operating Income Expenses,4164000.0,-11530000.0,-527000.0,-5744000.0
Net Non Operating Interest Income Expense,160153000.0,138347000.0,101111000.0,-1061000.0
Total Other Finance Cost,1427000.0,1371000.0,1316000.0,1261000.0
Interest Expense Non Operating,40030000.0,39813000.0,39391000.0,38642000.0
Interest Income Non Operating,201610000.0,179531000.0,141818000.0,38842000.0
Operating Income,-1232342000.0,-1063317000.0,-1259067000.0,-923784000.0
Operating Expense,5050594000.0,3864134000.0,3409226000.0,2601178000.0
Other Operating Expenses,2656560000.0,1838239000.0,1619113000.0,1312936000.0
Research And Development,1567747000.0,1444207000.0,1253598000.0,873477000.0
Selling General And Administration,826287000.0,581688000.0,536515000.0,414765000.0
Selling And Marketing Expense,246173000.0,174181000.0,146460000.0,117448000.0
General And Administrative Expense,580114000.0,407507000.0,390055000.0,297317000.0
Other Gand A,580114000.0,407507000.0,390055000.0,297317000.0
Gross Profit,3818252000.0,2800817000.0,2150159000.0,1677394000.0
Cost Of Revenue,1072299000.0,801162000.0,649115000.0,547658000.0
Total Revenue,4890551000.0,3601979000.0,2799274000.0,2225052000.0
Operating Revenue,4890551000.0,3601979000.0,2799274000.0,2225052000.0
