,2025-06-30,2024-06-30
Ordinary Shares Number,146000000.0,
Share Issued,146000000.0,
Net Debt,368000000.0,486000000.0
Total Debt,2042000000.0,985000000.0
Tangible Book Value,4217000000.0,3875000000.0
Invested Capital,11065000000.0,11896000000.0
Working Capital,3659000000.0,1425000000.0
Net Tangible Assets,4217000000.0,3875000000.0
Capital Lease Obligations,193000000.0,171000000.0
Common Stock Equity,9216000000.0,11082000000.0
Total Capitalization,11045000000.0,11082000000.0
Total Equity Gross Minority Interest,9216000000.0,11082000000.0
Stockholders Equity,9216000000.0,11082000000.0
Gains Losses Not Affecting Retained Earnings,-249000000.0,-452000000.0
Other Equity Adjustments,-249000000.0,-452000000.0
Retained Earnings,-1784000000.0,0.0
Additional Paid In Capital,11248000000.0,0.0
Capital Stock,1000000.0,11534000000.0
Common Stock,1000000.0,11534000000.0
Total Liabilities Net Minority Interest,3769000000.0,2424000000.0
Total Non Current Liabilities Net Minority Interest,2342000000.0,301000000.0
Other Non Current Liabilities,62000000.0,59000000.0
Tradeand Other Payables Non Current,241000000.0,56000000.0
Non Current Deferred Liabilities,17000000.0,15000000.0
Non Current Deferred Taxes Liabilities,17000000.0,15000000.0
Long Term Debt And Capital Lease Obligation,2022000000.0,171000000.0
Long Term Capital Lease Obligation,193000000.0,171000000.0
Long Term Debt,1829000000.0,
Current Liabilities,1427000000.0,2123000000.0
Current Debt And Capital Lease Obligation,20000000.0,814000000.0
Current Debt,20000000.0,814000000.0
Other Current Borrowings,20000000.0,
Current Notes Payable,0.0,814000000.0
Payables And Accrued Expenses,1407000000.0,1309000000.0
Current Accrued Expenses,598000000.0,619000000.0
Payables,809000000.0,690000000.0
Dueto Related Parties Current,400000000.0,313000000.0
Total Tax Payable,43000000.0,20000000.0
Income Tax Payable,43000000.0,20000000.0
Accounts Payable,366000000.0,357000000.0
Total Assets,12985000000.0,13506000000.0
Total Non Current Assets,7899000000.0,9958000000.0
Other Non Current Assets,1489000000.0,852000000.0
Non Current Deferred Assets,58000000.0,96000000.0
Non Current Deferred Taxes Assets,58000000.0,96000000.0
Non Current Note Receivables,654000000.0,1001000000.0
Non Current Accounts Receivable,80000000.0,11000000.0
Goodwill And Other Intangible Assets,4999000000.0,7207000000.0
Goodwill,4999000000.0,7207000000.0
Net PPE,619000000.0,791000000.0
Accumulated Depreciation,-1506000000.0,-2203000000.0
Gross PPE,2125000000.0,2994000000.0
Construction In Progress,51000000.0,108000000.0
Machinery Furniture Equipment,1674000000.0,2479000000.0
Buildings And Improvements,390000000.0,397000000.0
Land And Improvements,10000000.0,10000000.0
Properties,0.0,0.0
Current Assets,5086000000.0,3548000000.0
Other Current Assets,392000000.0,221000000.0
Inventory,2079000000.0,1955000000.0
Finished Goods,300000000.0,320000000.0
Work In Process,262000000.0,237000000.0
Raw Materials,1517000000.0,1398000000.0
Receivables,1134000000.0,1044000000.0
Taxes Receivable,66000000.0,7000000.0
Notes Receivable,0.0,102000000.0
Accounts Receivable,1068000000.0,935000000.0
Cash Cash Equivalents And Short Term Investments,1481000000.0,328000000.0
Cash And Cash Equivalents,1481000000.0,328000000.0
