,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Free Cash Flow,11494000000.0,-120000000.0,-475000000.0,-932000000.0
Repurchase Of Capital Stock,-4524000000.0,0.0,0.0,
Repayment Of Debt,-1900000000.0,-176000000.0,-272000000.0,-86000000.0
Issuance Of Debt,0.0,2621000000.0,14000000.0,270000000.0
Capital Expenditure,-177000000.0,-204000000.0,-166000000.0,-219000000.0
Interest Paid Supplemental Data,116000000.0,139000000.0,12000000.0,7000000.0
Income Tax Paid Supplemental Data,146000000.0,50000000.0,0.0,0.0
End Cash Position,4762000000.0,1481000000.0,328000000.0,292000000.0
Beginning Cash Position,1481000000.0,328000000.0,292000000.0,335000000.0
Effect Of Exchange Rate Changes,-3000000.0,-5000000.0,-1000000.0,-1000000.0
Changes In Cash,3284000000.0,1158000000.0,37000000.0,-42000000.0
Financing Cash Flow,-7001000000.0,518000000.0,136000000.0,860000000.0
Cash Flow From Continuing Financing Activities,-7001000000.0,518000000.0,136000000.0,860000000.0
Net Other Financing Charges,-630000000.0,-1932000000.0,394000000.0,676000000.0
Proceeds From Stock Option Exercised,53000000.0,5000000.0,0.0,0.0
Net Common Stock Issuance,-4524000000.0,0.0,0.0,
Common Stock Payments,-4524000000.0,0.0,0.0,
Net Issuance Payments Of Debt,-1900000000.0,2445000000.0,-258000000.0,184000000.0
Net Short Term Debt Issuance,0.0,575000000.0,-258000000.0,184000000.0
Short Term Debt Payments,0.0,-76000000.0,-272000000.0,-86000000.0
Short Term Debt Issuance,0.0,651000000.0,14000000.0,270000000.0
Net Long Term Debt Issuance,-1900000000.0,1870000000.0,0.0,0.0
Long Term Debt Payments,-1900000000.0,-100000000.0,0.0,0.0
Long Term Debt Issuance,0.0,1970000000.0,0.0,0.0
Investing Cash Flow,-1386000000.0,556000000.0,210000000.0,-189000000.0
Cash Flow From Continuing Investing Activities,-1386000000.0,556000000.0,210000000.0,-189000000.0
Net Other Investing Changes,-275000000.0,182000000.0,239000000.0,14000000.0
Dividends Received Cfi,0.0,176000000.0,0.0,0.0
Net Investment Purchase And Sale,-970000000.0,0.0,0.0,
Purchase Of Investment,-970000000.0,0.0,0.0,
Net Business Purchase And Sale,36000000.0,402000000.0,0.0,16000000.0
Sale Of Business,36000000.0,402000000.0,0.0,16000000.0
Net PPE Purchase And Sale,-177000000.0,-204000000.0,-29000000.0,-219000000.0
Sale Of PPE,0.0,0.0,137000000.0,0.0
Purchase Of PPE,-177000000.0,-204000000.0,-166000000.0,-219000000.0
Operating Cash Flow,11671000000.0,84000000.0,-309000000.0,-713000000.0
Cash Flow From Continuing Operating Activities,11671000000.0,84000000.0,-309000000.0,-713000000.0
Change In Working Capital,212000000.0,-380000000.0,-86000000.0,197000000.0
Change In Other Working Capital,1088000000.0,-235000000.0,-89000000.0,31000000.0
Change In Other Current Liabilities,1374000000.0,25000000.0,-38000000.0,
Change In Payables And Accrued Expense,2009000000.0,90000000.0,122000000.0,-307000000.0
Change In Accrued Expense,470000000.0,20000000.0,69000000.0,-160000000.0
Change In Payable,1539000000.0,70000000.0,53000000.0,-147000000.0
Change In Account Payable,169000000.0,70000000.0,53000000.0,-147000000.0
Change In Tax Payable,1370000000.0,0.0,0.0,
Change In Income Tax Payable,1370000000.0,0.0,0.0,
Change In Inventory,-619000000.0,-160000000.0,314000000.0,-277000000.0
Change In Receivables,-3640000000.0,-100000000.0,-395000000.0,750000000.0
Changes In Account Receivables,-3640000000.0,-100000000.0,-395000000.0,750000000.0
Other Non Cash Items,26000000.0,-73000000.0,91000000.0,114000000.0
Stock Based Compensation,232000000.0,182000000.0,149000000.0,165000000.0
Asset Impairment Charge,0.0,1830000000.0,0.0,672000000.0
Deferred Tax,120000000.0,-12000000.0,-16000000.0,-81000000.0
Deferred Income Tax,120000000.0,-12000000.0,-16000000.0,-81000000.0
Depreciation Amortization Depletion,149000000.0,163000000.0,224000000.0,448000000.0
Depreciation And Amortization,149000000.0,163000000.0,224000000.0,448000000.0
Amortization Cash Flow,,,,133000000.0
Amortization Of Intangibles,,,,133000000.0
Depreciation,149000000.0,163000000.0,224000000.0,315000000.0
Operating Gains Losses,-501000000.0,15000000.0,1000000.0,-85000000.0
Earnings Losses From Equity Investments,160000000.0,73000000.0,49000000.0,-45000000.0
Gain Loss On Investment Securities,-808000000.0,2000000.0,-1000000.0,-3000000.0
Net Foreign Currency Exchange Gain Loss,86000000.0,-25000000.0,13000000.0,-37000000.0
Gain Loss On Sale Of Business,10000000.0,-34000000.0,0.0,0.0
Net Income From Continuing Operations,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
