,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Tax Effect Of Unusual Items,87480000.0,-396060000.0,-4830000.0,-155400000.0
Tax Rate For Calcs,0.12,0.21,0.21,0.21
Normalized EBITDA,12510000000.0,633000000.0,-216000000.0,-783000000.0
Total Unusual Items,729000000.0,-1886000000.0,-23000000.0,-740000000.0
Total Unusual Items Excluding Goodwill,729000000.0,-1886000000.0,-23000000.0,-740000000.0
Net Income From Continuing Operation Net Minority Interest,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
Reconciled Depreciation,149000000.0,163000000.0,224000000.0,448000000.0
Reconciled Cost Of Revenue,5776000000.0,5143000000.0,5591000000.0,5656000000.0
EBITDA,13239000000.0,-1253000000.0,-239000000.0,-1523000000.0
EBIT,13090000000.0,-1416000000.0,-463000000.0,-1971000000.0
Net Interest Income,-3000000.0,-41000000.0,-28000000.0,-10000000.0
Interest Expense,73000000.0,63000000.0,40000000.0,31000000.0
Interest Income,70000000.0,22000000.0,12000000.0,21000000.0
Normalized Income,10791480000.0,-151060000.0,-653830000.0,-1558400000.0
Net Income From Continuing And Discontinued Operation,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
Total Expenses,7780000000.0,6848000000.0,7107000000.0,7381000000.0
Total Operating Income As Reported,12389000000.0,-1377000000.0,-468000000.0,-2035000000.0
Diluted Average Shares,,145000000.0,145000000.0,145000000.0
Basic Average Shares,,145000000.0,145000000.0,145000000.0
Diluted EPS,,-11.32,-4.63,-14.78
Basic EPS,,-11.32,-4.63,-14.78
Diluted NI Availto Com Stockholders,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
Net Income Common Stockholders,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
Net Income,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
Net Income Including Noncontrolling Interests,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
Net Income Continuous Operations,11433000000.0,-1641000000.0,-672000000.0,-2143000000.0
Tax Provision,1584000000.0,162000000.0,169000000.0,141000000.0
Pretax Income,13017000000.0,-1479000000.0,-503000000.0,-2002000000.0
Other Income Expense,552000000.0,-1945000000.0,-31000000.0,-697000000.0
Other Non Operating Income Expenses,-177000000.0,-59000000.0,-8000000.0,43000000.0
Special Income Charges,-79000000.0,-1884000000.0,-24000000.0,-740000000.0
Gain On Sale Of Business,-35000000.0,-33000000.0,-64000000.0,0.0
Other Special Charges,46000000.0,,,
Impairment Of Capital Assets,0.0,1830000000.0,0.0,671000000.0
Restructuring And Mergern Acquisition,-2000000.0,21000000.0,-40000000.0,69000000.0
Gain On Sale Of Security,808000000.0,-2000000.0,1000000.0,
Net Non Operating Interest Income Expense,-3000000.0,-41000000.0,-28000000.0,-10000000.0
Interest Expense Non Operating,73000000.0,63000000.0,40000000.0,31000000.0
Interest Income Non Operating,70000000.0,22000000.0,12000000.0,21000000.0
Operating Income,12468000000.0,507000000.0,-444000000.0,-1295000000.0
Operating Expense,2004000000.0,1705000000.0,1516000000.0,1725000000.0
Research And Development,1328000000.0,1132000000.0,1061000000.0,1167000000.0
Selling General And Administration,676000000.0,573000000.0,455000000.0,558000000.0
Gross Profit,14472000000.0,2212000000.0,1072000000.0,430000000.0
Cost Of Revenue,5776000000.0,5143000000.0,5591000000.0,5656000000.0
Total Revenue,20248000000.0,7355000000.0,6663000000.0,6086000000.0
Operating Revenue,20248000000.0,7355000000.0,6663000000.0,6086000000.0
