,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-3993575000.0,-1283424000.0,-7348331000.0,-7359591000.0,
Repurchase Of Capital Stock,0.0,-323400000.0,0.0,0.0,
Repayment Of Debt,-1286713000.0,-2335971000.0,-800368000.0,-516851000.0,
Issuance Of Debt,0.0,845250000.0,520549000.0,1858446000.0,
Issuance Of Capital Stock,3185618000.0,0.0,0.0,0.0,
Capital Expenditure,-251117000.0,-163617000.0,-121192000.0,-103733000.0,
Interest Paid Supplemental Data,1146248000.0,1118032000.0,720163000.0,150866000.0,
Income Tax Paid Supplemental Data,28912000.0,26910000.0,14326000.0,2567000.0,
End Cash Position,5356773000.0,2709360000.0,3615578000.0,1846302000.0,
Beginning Cash Position,2709360000.0,3615578000.0,1846302000.0,768437000.0,
Effect Of Exchange Rate Changes,-355000.0,2000.0,677000.0,571000.0,
Changes In Cash,2647768000.0,-906220000.0,1768599000.0,1077294000.0,
Financing Cash Flow,13109333000.0,5034577000.0,10885602000.0,8439485000.0,
Cash Flow From Continuing Financing Activities,13109333000.0,5034577000.0,10885602000.0,8439485000.0,
Net Other Financing Charges,-71245000.0,-30221000.0,-27203000.0,-17270000.0,
Proceeds From Stock Option Exercised,33168000.0,-59062000.0,1145000.0,2610000.0,
Cash Dividends Paid,0.0,-16503000.0,-40425000.0,-40425000.0,
Preferred Stock Dividend Paid,0.0,-16503000.0,-40425000.0,-40425000.0,
Net Preferred Stock Issuance,0.0,-323400000.0,0.0,0.0,
Preferred Stock Payments,0.0,-323400000.0,0.0,0.0,
Preferred Stock Issuance,,,,,0.0
Net Common Stock Issuance,3185618000.0,0.0,0.0,0.0,
Common Stock Payments,,,0.0,0.0,-283385000.0
Common Stock Issuance,3185618000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-1286713000.0,-1490721000.0,-279819000.0,1341595000.0,
Net Long Term Debt Issuance,-1286713000.0,-1490721000.0,-279819000.0,1341595000.0,
Long Term Debt Payments,-1286713000.0,-2335971000.0,-800368000.0,-516851000.0,
Long Term Debt Issuance,0.0,845250000.0,520549000.0,1858446000.0,
Investing Cash Flow,-6719107000.0,-4820990000.0,-1889864000.0,-106333000.0,
Cash Flow From Continuing Investing Activities,-6719107000.0,-4820990000.0,-1889864000.0,-106333000.0,
Net Other Investing Changes,,,,,16693000.0
Net Investment Purchase And Sale,-578502000.0,-1151581000.0,-333953000.0,112588000.0,
Sale Of Investment,1191508000.0,1076716000.0,533107000.0,157562000.0,
Purchase Of Investment,-1770010000.0,-2228297000.0,-867060000.0,-44974000.0,
Net Business Purchase And Sale,0.0,0.0,-72301000.0,58540000.0,
Sale Of Business,,,,58540000.0,
Purchase Of Business,0.0,0.0,-72301000.0,,0.0
Net PPE Purchase And Sale,-242444000.0,-154265000.0,-111409000.0,-93201000.0,
Purchase Of PPE,-242444000.0,-154265000.0,-111409000.0,-93201000.0,
Capital Expenditure Reported,-8673000.0,-9352000.0,-9783000.0,-10532000.0,
Operating Cash Flow,-3742458000.0,-1119807000.0,-7227139000.0,-7255858000.0,
Cash Flow From Continuing Operating Activities,-3742458000.0,-1119807000.0,-7227139000.0,-7255858000.0,
Change In Working Capital,-4438434000.0,-1612728000.0,-7637447000.0,-7495565000.0,
Change In Other Current Liabilities,140456000.0,23552000.0,42088000.0,,
Change In Other Current Assets,-136716000.0,-620109000.0,-37110000.0,-38456000.0,
Change In Payables And Accrued Expense,,23552000.0,42088000.0,6365000.0,-9022000.0
Change In Payable,,23552000.0,42088000.0,6365000.0,-9022000.0
Change In Account Payable,,23552000.0,42088000.0,6365000.0,-9022000.0
Change In Receivables,-45312000.0,-24474000.0,-74346000.0,0.0,
Changes In Account Receivables,-45312000.0,-24474000.0,-74346000.0,0.0,
Other Non Cash Items,25094000.0,23385000.0,10756000.0,38326000.0,
Stock Based Compensation,262058000.0,246152000.0,271216000.0,305994000.0,
Unrealized Gain Loss On Investment Securities,-1963000.0,-2842000.0,-48000.0,13600000.0,
Asset Impairment Charge,0.0,0.0,247174000.0,0.0,
Deferred Tax,16188000.0,-286917000.0,-15828000.0,-3498000.0,
Deferred Income Tax,16188000.0,-286917000.0,-15828000.0,-3498000.0,
Depreciation Amortization Depletion,234151000.0,203498000.0,201416000.0,151360000.0,
Depreciation And Amortization,234151000.0,203498000.0,201416000.0,151360000.0,
Operating Gains Losses,-351191000.0,-220732000.0,-58581000.0,,107589000.0
Earnings Losses From Equity Investments,,,0.0,0.0,261000.0
Net Income From Continuing Operations,481320000.0,498665000.0,-300742000.0,-320407000.0,
