,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-684420.0,12324690.0,-360787.0,-4056780.0,
Tax Rate For Calcs,0.085,0.21,0.0014,0.21,
Total Unusual Items,-8052000.0,58689000.0,-257705000.0,-19318000.0,
Total Unusual Items Excluding Goodwill,-8052000.0,58689000.0,-257705000.0,-19318000.0,
Net Income From Continuing Operation Net Minority Interest,481320000.0,498665000.0,-300742000.0,-320407000.0,
Reconciled Depreciation,234151000.0,203498000.0,201416000.0,151360000.0,
Net Interest Income,2218956000.0,1716481000.0,1261740000.0,584096000.0,
Interest Expense,1156243000.0,1091336000.0,789327000.0,189275000.0,
Interest Income,3375199000.0,2807817000.0,2051067000.0,773371000.0,
Normalized Income,488687580.0,452300690.0,-43397787.0,-305145780.0,
Net Income From Continuing And Discontinued Operation,481320000.0,498665000.0,-300742000.0,-320407000.0,
Diluted Average Shares,1251767000.0,1101390000.0,945024160.0,900886113.0,
Basic Average Shares,1150140000.0,1050219000.0,945024160.0,900886113.0,
Diluted EPS,0.39,0.39,-0.36,-0.4,
Basic EPS,0.42,0.46,-0.36,-0.4,
Diluted NI Availto Com Stockholders,482700000.0,434776000.0,-341167000.0,-360832000.0,
Average Dilution Earnings,1380000.0,-44360000.0,0.0,0.0,
Net Income Common Stockholders,481320000.0,479136000.0,-341167000.0,-360832000.0,
Otherunder Preferred Stock Dividend,,3026000.0,,,
Preferred Stock Dividends,,16503000.0,40425000.0,40425000.0,40426000.0
Net Income,481320000.0,498665000.0,-300742000.0,-320407000.0,
Net Income Including Noncontrolling Interests,481320000.0,498665000.0,-300742000.0,-320407000.0,
Net Income Continuous Operations,481320000.0,498665000.0,-300742000.0,-320407000.0,
Tax Provision,44537000.0,-265320000.0,-416000.0,1686000.0,
Pretax Income,525857000.0,233345000.0,-301158000.0,-318721000.0,
Special Income Charges,-8052000.0,58689000.0,-257705000.0,-19318000.0,
Other Special Charges,,,10971000.0,,
Impairment Of Capital Assets,0.0,0.0,248417000.0,0.0,
Restructuring And Mergern Acquisition,8052000.0,3828000.0,23862000.0,19318000.0,
Gain On Sale Of Security,,,,-40031000.0,-14862000.0
Selling General And Administration,1799848000.0,1396382000.0,1230411000.0,1119441000.0,
Selling And Marketing Expense,1095412000.0,796293000.0,719400000.0,617823000.0,
General And Administrative Expense,704436000.0,600089000.0,511011000.0,501618000.0,
Other Gand A,704436000.0,600089000.0,511011000.0,501618000.0,
Total Revenue,3613354000.0,2612342000.0,2108215000.0,1573535000.0,
Operating Revenue,3613354000.0,2612342000.0,2108215000.0,1573535000.0,
Other Non Interest Expense,1249278000.0,1009592000.0,866312000.0,699165000.0,
